#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
02:59:53 04.13.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-7.618399811e+01,
+3.171739130e+06,-7.859001923e+01,
+5.343478261e+06,-7.638108063e+01,
+7.515217391e+06,-7.826380920e+01,
+9.686956522e+06,-7.871894073e+01,
+1.185869565e+07,-7.699718475e+01,
+1.403043478e+07,-7.882556915e+01,
+1.620217391e+07,-7.584803009e+01,
+1.837391304e+07,-6.981986237e+01,
+2.054565217e+07,-6.377257919e+01,
+2.271739130e+07,-7.752571869e+01,
+2.488913043e+07,-7.851158142e+01,
+2.706086957e+07,-7.423008728e+01,
+2.923260870e+07,-8.005561066e+01,
+3.140434783e+07,-8.414766693e+01,
+3.357608696e+07,-8.087848663e+01,
+3.574782609e+07,-8.065702820e+01,
+3.791956522e+07,-8.184983063e+01,
+4.009130435e+07,-7.916965485e+01,
+4.226304348e+07,-8.145753479e+01,
+4.443478261e+07,-7.927468109e+01,
+4.660652174e+07,-8.257794952e+01,
+4.877826087e+07,-8.771932220e+01,
+5.095000000e+07,-8.893272400e+01,
+5.312173913e+07,-8.483881378e+01,
+5.529347826e+07,-8.343915558e+01,
+5.746521739e+07,-8.519371033e+01,
+5.963695652e+07,-8.042244720e+01,
+6.180869565e+07,-8.165142059e+01,
+6.398043478e+07,-8.593271637e+01,
+6.615217391e+07,-9.007903290e+01,
+6.832391304e+07,-9.351728821e+01,
+7.049565217e+07,-9.502382660e+01,
+7.266739130e+07,-9.202574921e+01,
+7.483913043e+07,-9.919742584e+01,
+7.701086957e+07,-9.724739838e+01,
+7.918260870e+07,-9.035157013e+01,
+8.135434783e+07,-9.510520172e+01,
+8.352608696e+07,-8.094606781e+01,
+8.569782609e+07,-9.073029327e+01,
+8.786956522e+07,-8.719115448e+01,
+9.004130435e+07,-9.204276276e+01,
+9.221304348e+07,-6.344271469e+01,
+9.438478261e+07,-8.028643799e+01,
+9.655652174e+07,-6.980767059e+01,
+9.872826087e+07,-7.858388519e+01,
+1.009000000e+08,-9.208977509e+01,
+1.030717391e+08,-8.986593628e+01,
+1.052434783e+08,-9.026690674e+01,
+1.074152174e+08,-8.991133881e+01,
+1.095869565e+08,-9.066113281e+01,
+1.117586957e+08,-9.502428436e+01,
+1.139304348e+08,-1.003145218e+02,
+1.161021739e+08,-9.890375519e+01,
+1.182739130e+08,-9.871604919e+01,
+1.204456522e+08,-8.724865723e+01,
+1.226173913e+08,-9.396752930e+01,
+1.247891304e+08,-9.976686859e+01,
+1.269608696e+08,-1.040437241e+02,
+1.291326087e+08,-1.021623383e+02,
+1.313043478e+08,-1.041102829e+02,
+1.334760870e+08,-9.324870300e+01,
+1.356478261e+08,-9.738237762e+01,
+1.378195652e+08,-1.007634277e+02,
+1.399913043e+08,-9.912758636e+01,
+1.421630435e+08,-1.001623688e+02,
+1.443347826e+08,-9.687805939e+01,
+1.465065217e+08,-1.019028854e+02,
+1.486782609e+08,-9.620848846e+01,
