#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
05:01:15 04.07.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.053204575e+02,
+3.272755435e+08,-1.063311844e+02,
+3.272760870e+08,-1.065831680e+02,
+3.272766304e+08,-1.049135056e+02,
+3.272771739e+08,-1.051215897e+02,
+3.272777174e+08,-1.051436996e+02,
+3.272782609e+08,-1.061218643e+02,
+3.272788043e+08,-1.046550522e+02,
+3.272793478e+08,-1.052923660e+02,
+3.272798913e+08,-1.047999802e+02,
+3.272804348e+08,-1.058651199e+02,
+3.272809783e+08,-1.052466202e+02,
+3.272815217e+08,-1.051509628e+02,
+3.272820652e+08,-1.054116592e+02,
+3.272826087e+08,-1.060896683e+02,
+3.272831522e+08,-1.043285294e+02,
+3.272836957e+08,-1.055434494e+02,
+3.272842391e+08,-1.045143814e+02,
+3.272847826e+08,-1.060437851e+02,
+3.272853261e+08,-1.051752853e+02,
+3.272858696e+08,-1.061035233e+02,
+3.272864130e+08,-1.044677353e+02,
+3.272869565e+08,-1.043102646e+02,
+3.272875000e+08,-1.049291611e+02,
+3.272880435e+08,-1.046343918e+02,
+3.272885870e+08,-1.066566086e+02,
+3.272891304e+08,-1.050686417e+02,
+3.272896739e+08,-1.056573715e+02,
+3.272902174e+08,-1.049862137e+02,
+3.272907609e+08,-1.041763382e+02,
+3.272913043e+08,-1.053458481e+02,
+3.272918478e+08,-1.050233383e+02,
+3.272923913e+08,-1.055362473e+02,
+3.272929348e+08,-1.046579208e+02,
+3.272934783e+08,-1.064263077e+02,
+3.272940217e+08,-1.040411148e+02,
+3.272945652e+08,-1.052680740e+02,
+3.272951087e+08,-1.043270340e+02,
+3.272956522e+08,-1.041373672e+02,
+3.272961957e+08,-1.033998337e+02,
+3.272967391e+08,-1.046814804e+02,
+3.272972826e+08,-1.041988144e+02,
+3.272978261e+08,-1.055835648e+02,
+3.272983696e+08,-1.055673904e+02,
+3.272989130e+08,-1.048326950e+02,
+3.272994565e+08,-1.049603653e+02,
+3.273000000e+08,-1.048058548e+02,
+3.273005435e+08,-1.039847488e+02,
+3.273010870e+08,-1.067889709e+02,
+3.273016304e+08,-1.052925491e+02,
+3.273021739e+08,-1.051970062e+02,
+3.273027174e+08,-1.050387802e+02,
+3.273032609e+08,-1.058476486e+02,
+3.273038043e+08,-1.046806946e+02,
+3.273043478e+08,-1.034746933e+02,
+3.273048913e+08,-1.061018219e+02,
+3.273054348e+08,-1.057277985e+02,
+3.273059783e+08,-1.059720612e+02,
+3.273065217e+08,-1.053665009e+02,
+3.273070652e+08,-1.051684341e+02,
+3.273076087e+08,-1.047442169e+02,
+3.273081522e+08,-1.053708572e+02,
+3.273086957e+08,-1.071118393e+02,
+3.273092391e+08,-1.047414856e+02,
+3.273097826e+08,-1.033910599e+02,
+3.273103261e+08,-1.054559174e+02,
+3.273108696e+08,-1.062537689e+02,
+3.273114130e+08,-1.048607864e+02,
