#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
15:25:32 04.08.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.036500626e+02,
+3.272755435e+08,-1.042082291e+02,
+3.272760870e+08,-1.023692780e+02,
+3.272766304e+08,-1.045242462e+02,
+3.272771739e+08,-1.039589767e+02,
+3.272777174e+08,-1.023622513e+02,
+3.272782609e+08,-1.022443695e+02,
+3.272788043e+08,-1.020240173e+02,
+3.272793478e+08,-1.025345306e+02,
+3.272798913e+08,-1.034754486e+02,
+3.272804348e+08,-1.021029739e+02,
+3.272809783e+08,-1.014871979e+02,
+3.272815217e+08,-1.019797516e+02,
+3.272820652e+08,-1.048680496e+02,
+3.272826087e+08,-1.027822495e+02,
+3.272831522e+08,-1.040017853e+02,
+3.272836957e+08,-1.035716705e+02,
+3.272842391e+08,-1.029226913e+02,
+3.272847826e+08,-1.047092514e+02,
+3.272853261e+08,-1.027353363e+02,
+3.272858696e+08,-1.025623398e+02,
+3.272864130e+08,-1.024805908e+02,
+3.272869565e+08,-1.032607880e+02,
+3.272875000e+08,-1.030064850e+02,
+3.272880435e+08,-1.029788818e+02,
+3.272885870e+08,-1.017413483e+02,
+3.272891304e+08,-1.032736435e+02,
+3.272896739e+08,-1.044723434e+02,
+3.272902174e+08,-1.031664505e+02,
+3.272907609e+08,-1.019229813e+02,
+3.272913043e+08,-1.031104813e+02,
+3.272918478e+08,-1.009563293e+02,
+3.272923913e+08,-1.000170364e+02,
+3.272929348e+08,-1.039231949e+02,
+3.272934783e+08,-9.645218658e+01,
+3.272940217e+08,-9.926020813e+01,
+3.272945652e+08,-1.015294037e+02,
+3.272951087e+08,-1.035169449e+02,
+3.272956522e+08,-1.005967865e+02,
+3.272961957e+08,-1.033398819e+02,
+3.272967391e+08,-1.013807678e+02,
+3.272972826e+08,-1.008100128e+02,
+3.272978261e+08,-9.587863922e+01,
+3.272983696e+08,-9.863613129e+01,
+3.272989130e+08,-9.980706787e+01,
+3.272994565e+08,-9.952262878e+01,
+3.273000000e+08,-1.033184433e+02,
+3.273005435e+08,-1.029651108e+02,
+3.273010870e+08,-1.038819580e+02,
+3.273016304e+08,-1.017686081e+02,
+3.273021739e+08,-1.031071777e+02,
+3.273027174e+08,-1.021006470e+02,
+3.273032609e+08,-1.016553192e+02,
+3.273038043e+08,-1.028506317e+02,
+3.273043478e+08,-1.028505936e+02,
+3.273048913e+08,-1.040196457e+02,
+3.273054348e+08,-1.019922638e+02,
+3.273059783e+08,-1.043978577e+02,
+3.273065217e+08,-1.029293060e+02,
+3.273070652e+08,-1.042233658e+02,
+3.273076087e+08,-1.034639893e+02,
+3.273081522e+08,-1.036660080e+02,
+3.273086957e+08,-1.031221085e+02,
+3.273092391e+08,-1.028748474e+02,
+3.273097826e+08,-1.024429474e+02,
+3.273103261e+08,-1.018838272e+02,
+3.273108696e+08,-1.041777191e+02,
+3.273114130e+08,-1.038119583e+02,
