#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
16:30:31 04.05.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.067719116e+02,
+3.272755435e+08,-1.074560547e+02,
+3.272760870e+08,-1.069967957e+02,
+3.272766304e+08,-1.061001282e+02,
+3.272771739e+08,-1.059566498e+02,
+3.272777174e+08,-1.072463226e+02,
+3.272782609e+08,-1.068480988e+02,
+3.272788043e+08,-1.076096649e+02,
+3.272793478e+08,-1.071859436e+02,
+3.272798913e+08,-1.053604126e+02,
+3.272804348e+08,-1.065373535e+02,
+3.272809783e+08,-1.059697723e+02,
+3.272815217e+08,-1.053690796e+02,
+3.272820652e+08,-1.053127289e+02,
+3.272826087e+08,-1.053093872e+02,
+3.272831522e+08,-1.056566467e+02,
+3.272836957e+08,-1.059661713e+02,
+3.272842391e+08,-1.046823120e+02,
+3.272847826e+08,-1.054811249e+02,
+3.272853261e+08,-1.056955719e+02,
+3.272858696e+08,-1.051561432e+02,
+3.272864130e+08,-1.066554413e+02,
+3.272869565e+08,-1.050889893e+02,
+3.272875000e+08,-1.055793915e+02,
+3.272880435e+08,-1.063578644e+02,
+3.272885870e+08,-1.062868652e+02,
+3.272891304e+08,-1.065362854e+02,
+3.272896739e+08,-1.065115204e+02,
+3.272902174e+08,-1.068553772e+02,
+3.272907609e+08,-1.059324799e+02,
+3.272913043e+08,-1.049234009e+02,
+3.272918478e+08,-1.062811890e+02,
+3.272923913e+08,-1.061228943e+02,
+3.272929348e+08,-1.068601227e+02,
+3.272934783e+08,-1.064612274e+02,
+3.272940217e+08,-1.022567291e+02,
+3.272945652e+08,-1.064915771e+02,
+3.272951087e+08,-1.069195709e+02,
+3.272956522e+08,-1.067109375e+02,
+3.272961957e+08,-1.053101196e+02,
+3.272967391e+08,-1.069212494e+02,
+3.272972826e+08,-1.053845825e+02,
+3.272978261e+08,-1.051165314e+02,
+3.272983696e+08,-1.049155121e+02,
+3.272989130e+08,-1.062146149e+02,
+3.272994565e+08,-1.067731934e+02,
+3.273000000e+08,-1.057260284e+02,
+3.273005435e+08,-1.037021027e+02,
+3.273010870e+08,-1.049236450e+02,
+3.273016304e+08,-1.065438538e+02,
+3.273021739e+08,-1.066598206e+02,
+3.273027174e+08,-1.060131226e+02,
+3.273032609e+08,-1.053360748e+02,
+3.273038043e+08,-1.056015778e+02,
+3.273043478e+08,-1.049437408e+02,
+3.273048913e+08,-1.065269470e+02,
+3.273054348e+08,-1.061478119e+02,
+3.273059783e+08,-1.072799377e+02,
+3.273065217e+08,-1.058430786e+02,
+3.273070652e+08,-1.053824005e+02,
+3.273076087e+08,-1.055252380e+02,
+3.273081522e+08,-1.056325836e+02,
+3.273086957e+08,-1.074281158e+02,
+3.273092391e+08,-1.058900757e+02,
+3.273097826e+08,-1.058948975e+02,
+3.273103261e+08,-1.068489685e+02,
+3.273108696e+08,-1.074042206e+02,
+3.273114130e+08,-1.065704193e+02,
