#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
09:29:16 04.29.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.008169250e+02,
+3.272755435e+08,-1.016981201e+02,
+3.272760870e+08,-1.011744461e+02,
+3.272766304e+08,-1.020230637e+02,
+3.272771739e+08,-1.013231049e+02,
+3.272777174e+08,-1.005285568e+02,
+3.272782609e+08,-1.014713364e+02,
+3.272788043e+08,-9.969930267e+01,
+3.272793478e+08,-1.013268509e+02,
+3.272798913e+08,-1.002517395e+02,
+3.272804348e+08,-1.006162109e+02,
+3.272809783e+08,-1.018850174e+02,
+3.272815217e+08,-1.028540192e+02,
+3.272820652e+08,-9.948545074e+01,
+3.272826087e+08,-1.013104172e+02,
+3.272831522e+08,-1.000470657e+02,
+3.272836957e+08,-1.017768021e+02,
+3.272842391e+08,-1.007994308e+02,
+3.272847826e+08,-1.013849792e+02,
+3.272853261e+08,-1.017006454e+02,
+3.272858696e+08,-1.011588211e+02,
+3.272864130e+08,-1.009240189e+02,
+3.272869565e+08,-1.022188873e+02,
+3.272875000e+08,-9.767642212e+01,
+3.272880435e+08,-1.013356857e+02,
+3.272885870e+08,-1.010320587e+02,
+3.272891304e+08,-1.021181183e+02,
+3.272896739e+08,-1.009205933e+02,
+3.272902174e+08,-1.018087692e+02,
+3.272907609e+08,-1.004010849e+02,
+3.272913043e+08,-1.021416016e+02,
+3.272918478e+08,-1.009910660e+02,
+3.272923913e+08,-1.025846329e+02,
+3.272929348e+08,-1.016157379e+02,
+3.272934783e+08,-1.020386429e+02,
+3.272940217e+08,-1.031254501e+02,
+3.272945652e+08,-1.020661163e+02,
+3.272951087e+08,-1.020020676e+02,
+3.272956522e+08,-1.016317673e+02,
+3.272961957e+08,-1.018297195e+02,
+3.272967391e+08,-1.015641937e+02,
+3.272972826e+08,-1.010084152e+02,
+3.272978261e+08,-1.019374008e+02,
+3.272983696e+08,-1.008833008e+02,
+3.272989130e+08,-1.004502792e+02,
+3.272994565e+08,-1.015534515e+02,
+3.273000000e+08,-1.024126511e+02,
+3.273005435e+08,-1.001534424e+02,
+3.273010870e+08,-1.027514801e+02,
+3.273016304e+08,-1.019206085e+02,
+3.273021739e+08,-1.010073318e+02,
+3.273027174e+08,-1.004530563e+02,
+3.273032609e+08,-1.003488541e+02,
+3.273038043e+08,-1.002865067e+02,
+3.273043478e+08,-1.010355072e+02,
+3.273048913e+08,-1.013824844e+02,
+3.273054348e+08,-1.014752197e+02,
+3.273059783e+08,-1.009094315e+02,
+3.273065217e+08,-1.022658157e+02,
+3.273070652e+08,-1.014525299e+02,
+3.273076087e+08,-1.027362976e+02,
+3.273081522e+08,-1.019642868e+02,
+3.273086957e+08,-1.031743698e+02,
+3.273092391e+08,-1.015932617e+02,
+3.273097826e+08,-1.007994766e+02,
+3.273103261e+08,-1.011490784e+02,
+3.273108696e+08,-1.015214996e+02,
+3.273114130e+08,-1.011346130e+02,
