#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
19:53:33 04.22.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-8.859023285e+01,
+3.250086957e+08,-9.718942261e+01,
+3.250173913e+08,-9.819136810e+01,
+3.250260870e+08,-9.723416138e+01,
+3.250347826e+08,-9.787846375e+01,
+3.250434783e+08,-9.807788849e+01,
+3.250521739e+08,-9.839463806e+01,
+3.250608696e+08,-9.721605682e+01,
+3.250695652e+08,-9.655501556e+01,
+3.250782609e+08,-9.723590851e+01,
+3.250869565e+08,-9.810404205e+01,
+3.250956522e+08,-9.754506683e+01,
+3.251043478e+08,-9.798225403e+01,
+3.251130435e+08,-9.817621613e+01,
+3.251217391e+08,-9.792962646e+01,
+3.251304348e+08,-9.726590729e+01,
+3.251391304e+08,-9.765894318e+01,
+3.251478261e+08,-9.741811371e+01,
+3.251565217e+08,-9.740055847e+01,
+3.251652174e+08,-9.767652893e+01,
+3.251739130e+08,-9.724216461e+01,
+3.251826087e+08,-9.662445068e+01,
+3.251913043e+08,-9.720260620e+01,
+3.252000000e+08,-9.780817413e+01,
+3.252086957e+08,-9.794071198e+01,
+3.252173913e+08,-9.755120087e+01,
+3.252260870e+08,-9.674555206e+01,
+3.252347826e+08,-9.788957977e+01,
+3.252434783e+08,-9.704687500e+01,
+3.252521739e+08,-9.743694305e+01,
+3.252608696e+08,-9.772878265e+01,
+3.252695652e+08,-9.769449615e+01,
+3.252782609e+08,-9.789276886e+01,
+3.252869565e+08,-9.786888885e+01,
+3.252956522e+08,-9.744805145e+01,
+3.253043478e+08,-9.728372955e+01,
+3.253130435e+08,-9.755422974e+01,
+3.253217391e+08,-9.766659546e+01,
+3.253304348e+08,-9.758486938e+01,
+3.253391304e+08,-9.648268127e+01,
+3.253478261e+08,-9.727347565e+01,
+3.253565217e+08,-9.794566345e+01,
+3.253652174e+08,-9.737264252e+01,
+3.253739130e+08,-9.766019440e+01,
+3.253826087e+08,-9.747099304e+01,
+3.253913043e+08,-9.854104614e+01,
