#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
07:47:10 04.04.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.037017746e+02,
+3.272755435e+08,-1.048584900e+02,
+3.272760870e+08,-1.047777481e+02,
+3.272766304e+08,-1.026739731e+02,
+3.272771739e+08,-1.026944275e+02,
+3.272777174e+08,-1.042215195e+02,
+3.272782609e+08,-1.030640640e+02,
+3.272788043e+08,-1.026052170e+02,
+3.272793478e+08,-1.039875565e+02,
+3.272798913e+08,-1.033915939e+02,
+3.272804348e+08,-1.046884308e+02,
+3.272809783e+08,-1.055489502e+02,
+3.272815217e+08,-1.038953934e+02,
+3.272820652e+08,-1.045049591e+02,
+3.272826087e+08,-1.037675018e+02,
+3.272831522e+08,-1.048077774e+02,
+3.272836957e+08,-1.031528397e+02,
+3.272842391e+08,-1.034450836e+02,
+3.272847826e+08,-1.037067032e+02,
+3.272853261e+08,-1.059184265e+02,
+3.272858696e+08,-1.037047958e+02,
+3.272864130e+08,-1.031400909e+02,
+3.272869565e+08,-1.038911972e+02,
+3.272875000e+08,-1.034582901e+02,
+3.272880435e+08,-1.027525635e+02,
+3.272885870e+08,-1.031696777e+02,
+3.272891304e+08,-1.035829010e+02,
+3.272896739e+08,-1.046437683e+02,
+3.272902174e+08,-1.034381180e+02,
+3.272907609e+08,-1.024522400e+02,
+3.272913043e+08,-1.044511871e+02,
+3.272918478e+08,-1.039252777e+02,
+3.272923913e+08,-1.036592941e+02,
+3.272929348e+08,-1.029566422e+02,
+3.272934783e+08,-1.048256760e+02,
+3.272940217e+08,-1.008125687e+02,
+3.272945652e+08,-1.039961014e+02,
+3.272951087e+08,-1.036657257e+02,
+3.272956522e+08,-1.034957123e+02,
+3.272961957e+08,-1.026690979e+02,
+3.272967391e+08,-1.037601395e+02,
+3.272972826e+08,-1.046541748e+02,
+3.272978261e+08,-1.046462784e+02,
+3.272983696e+08,-1.026188812e+02,
+3.272989130e+08,-1.046869354e+02,
+3.272994565e+08,-1.025003738e+02,
+3.273000000e+08,-1.046746902e+02,
+3.273005435e+08,-1.029708862e+02,
+3.273010870e+08,-1.051004257e+02,
+3.273016304e+08,-1.037407761e+02,
+3.273021739e+08,-1.032539368e+02,
+3.273027174e+08,-1.037189713e+02,
+3.273032609e+08,-1.027101517e+02,
+3.273038043e+08,-1.032493057e+02,
+3.273043478e+08,-1.041035538e+02,
+3.273048913e+08,-1.032545853e+02,
+3.273054348e+08,-1.025586700e+02,
+3.273059783e+08,-1.037843323e+02,
+3.273065217e+08,-1.028647766e+02,
+3.273070652e+08,-1.036412506e+02,
+3.273076087e+08,-1.025532684e+02,
+3.273081522e+08,-1.008917923e+02,
+3.273086957e+08,-1.035300751e+02,
+3.273092391e+08,-1.048096161e+02,
+3.273097826e+08,-1.049722519e+02,
+3.273103261e+08,-1.031630554e+02,
+3.273108696e+08,-1.034303589e+02,
+3.273114130e+08,-1.038230362e+02,
