#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
12:49:40 04.07.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.022377930e+02,
+3.272755435e+08,-1.037872772e+02,
+3.272760870e+08,-1.030801926e+02,
+3.272766304e+08,-1.029468460e+02,
+3.272771739e+08,-1.013280106e+02,
+3.272777174e+08,-1.030417328e+02,
+3.272782609e+08,-1.046611328e+02,
+3.272788043e+08,-1.042704315e+02,
+3.272793478e+08,-1.032308121e+02,
+3.272798913e+08,-1.037714157e+02,
+3.272804348e+08,-1.015659485e+02,
+3.272809783e+08,-1.034895248e+02,
+3.272815217e+08,-1.028197098e+02,
+3.272820652e+08,-1.038825378e+02,
+3.272826087e+08,-1.038850250e+02,
+3.272831522e+08,-1.027201080e+02,
+3.272836957e+08,-1.026421967e+02,
+3.272842391e+08,-1.020924149e+02,
+3.272847826e+08,-1.020628815e+02,
+3.272853261e+08,-1.045821381e+02,
+3.272858696e+08,-1.031450119e+02,
+3.272864130e+08,-1.037125092e+02,
+3.272869565e+08,-1.037737274e+02,
+3.272875000e+08,-1.045480423e+02,
+3.272880435e+08,-1.025736313e+02,
+3.272885870e+08,-1.018942032e+02,
+3.272891304e+08,-1.027586899e+02,
+3.272896739e+08,-1.032430878e+02,
+3.272902174e+08,-1.024495010e+02,
+3.272907609e+08,-1.034001083e+02,
+3.272913043e+08,-1.018074493e+02,
+3.272918478e+08,-1.029442825e+02,
+3.272923913e+08,-1.016487656e+02,
+3.272929348e+08,-1.042108307e+02,
+3.272934783e+08,-1.023654861e+02,
+3.272940217e+08,-9.947832489e+01,
+3.272945652e+08,-9.939151001e+01,
+3.272951087e+08,-1.041658325e+02,
+3.272956522e+08,-1.016152878e+02,
+3.272961957e+08,-1.024860535e+02,
+3.272967391e+08,-1.018678665e+02,
+3.272972826e+08,-1.021024323e+02,
+3.272978261e+08,-1.031017456e+02,
+3.272983696e+08,-1.040944672e+02,
+3.272989130e+08,-1.018541107e+02,
+3.272994565e+08,-1.033705673e+02,
+3.273000000e+08,-1.015502701e+02,
+3.273005435e+08,-1.024689865e+02,
+3.273010870e+08,-1.027411728e+02,
+3.273016304e+08,-1.035649033e+02,
+3.273021739e+08,-1.036648636e+02,
+3.273027174e+08,-1.028147049e+02,
+3.273032609e+08,-1.037208023e+02,
+3.273038043e+08,-1.025384598e+02,
+3.273043478e+08,-1.027979355e+02,
+3.273048913e+08,-1.050176163e+02,
+3.273054348e+08,-1.019603653e+02,
+3.273059783e+08,-1.033796539e+02,
+3.273065217e+08,-1.036129379e+02,
+3.273070652e+08,-1.039670258e+02,
+3.273076087e+08,-1.035826111e+02,
+3.273081522e+08,-1.024193726e+02,
+3.273086957e+08,-1.023937378e+02,
+3.273092391e+08,-1.043381424e+02,
+3.273097826e+08,-1.027245407e+02,
+3.273103261e+08,-1.036116562e+02,
+3.273108696e+08,-1.037780762e+02,
+3.273114130e+08,-1.038369904e+02,
