#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
14:50:32 04.30.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.291874084e+02,
+3.272755435e+08,-1.280065308e+02,
+3.272760870e+08,-1.284432373e+02,
+3.272766304e+08,-1.274200211e+02,
+3.272771739e+08,-1.279621887e+02,
+3.272777174e+08,-1.288252106e+02,
+3.272782609e+08,-1.278012543e+02,
+3.272788043e+08,-1.277623444e+02,
+3.272793478e+08,-1.280249634e+02,
+3.272798913e+08,-1.292069092e+02,
+3.272804348e+08,-1.274159241e+02,
+3.272809783e+08,-1.292777710e+02,
+3.272815217e+08,-1.265689011e+02,
+3.272820652e+08,-1.281717834e+02,
+3.272826087e+08,-1.259135208e+02,
+3.272831522e+08,-1.263853226e+02,
+3.272836957e+08,-1.266978989e+02,
+3.272842391e+08,-1.284221497e+02,
+3.272847826e+08,-1.279327393e+02,
+3.272853261e+08,-1.280448456e+02,
+3.272858696e+08,-1.277290649e+02,
+3.272864130e+08,-1.279199219e+02,
+3.272869565e+08,-1.254953537e+02,
+3.272875000e+08,-1.270287247e+02,
+3.272880435e+08,-1.274273834e+02,
+3.272885870e+08,-1.278158722e+02,
+3.272891304e+08,-1.280601349e+02,
+3.272896739e+08,-1.277722473e+02,
+3.272902174e+08,-1.278734131e+02,
+3.272907609e+08,-1.267236710e+02,
+3.272913043e+08,-1.278018646e+02,
+3.272918478e+08,-1.278273621e+02,
+3.272923913e+08,-1.274615479e+02,
+3.272929348e+08,-1.281937256e+02,
+3.272934783e+08,-1.284823303e+02,
+3.272940217e+08,-1.287153778e+02,
+3.272945652e+08,-1.274742203e+02,
+3.272951087e+08,-1.283264008e+02,
+3.272956522e+08,-1.279332275e+02,
+3.272961957e+08,-1.274466248e+02,
+3.272967391e+08,-1.280667114e+02,
+3.272972826e+08,-1.276768494e+02,
+3.272978261e+08,-1.278881531e+02,
+3.272983696e+08,-1.282142334e+02,
+3.272989130e+08,-1.286706543e+02,
+3.272994565e+08,-1.285185242e+02,
+3.273000000e+08,-1.268846817e+02,
+3.273005435e+08,-1.263185959e+02,
+3.273010870e+08,-1.288103180e+02,
+3.273016304e+08,-1.268509369e+02,
+3.273021739e+08,-1.293162994e+02,
+3.273027174e+08,-1.275329361e+02,
+3.273032609e+08,-1.279557343e+02,
+3.273038043e+08,-1.275299225e+02,
+3.273043478e+08,-1.273134003e+02,
+3.273048913e+08,-1.284911194e+02,
+3.273054348e+08,-1.278821106e+02,
+3.273059783e+08,-1.276435928e+02,
+3.273065217e+08,-1.285543823e+02,
+3.273070652e+08,-1.283399963e+02,
+3.273076087e+08,-1.270367432e+02,
+3.273081522e+08,-1.269302139e+02,
+3.273086957e+08,-1.292945099e+02,
+3.273092391e+08,-1.282960205e+02,
+3.273097826e+08,-1.279065857e+02,
+3.273103261e+08,-1.266075363e+02,
+3.273108696e+08,-1.264720993e+02,
+3.273114130e+08,-1.275769043e+02,
