#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
16:32:16 04.04.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.050279160e+02,
+3.272755435e+08,-1.057322464e+02,
+3.272760870e+08,-1.052943344e+02,
+3.272766304e+08,-1.064356918e+02,
+3.272771739e+08,-1.059585190e+02,
+3.272777174e+08,-1.065456467e+02,
+3.272782609e+08,-1.075617294e+02,
+3.272788043e+08,-1.046674423e+02,
+3.272793478e+08,-1.064029617e+02,
+3.272798913e+08,-1.075806808e+02,
+3.272804348e+08,-1.062773972e+02,
+3.272809783e+08,-1.053231277e+02,
+3.272815217e+08,-1.044190903e+02,
+3.272820652e+08,-1.059223557e+02,
+3.272826087e+08,-1.054734879e+02,
+3.272831522e+08,-1.067928848e+02,
+3.272836957e+08,-1.070779037e+02,
+3.272842391e+08,-1.064547195e+02,
+3.272847826e+08,-1.064725418e+02,
+3.272853261e+08,-1.065281296e+02,
+3.272858696e+08,-1.068775558e+02,
+3.272864130e+08,-1.059289169e+02,
+3.272869565e+08,-1.065861282e+02,
+3.272875000e+08,-1.067590103e+02,
+3.272880435e+08,-1.057342300e+02,
+3.272885870e+08,-1.061124496e+02,
+3.272891304e+08,-1.058756027e+02,
+3.272896739e+08,-1.057424698e+02,
+3.272902174e+08,-1.069674759e+02,
+3.272907609e+08,-1.072261581e+02,
+3.272913043e+08,-1.060659866e+02,
+3.272918478e+08,-1.062370377e+02,
+3.272923913e+08,-1.051342545e+02,
+3.272929348e+08,-1.047500687e+02,
+3.272934783e+08,-1.064177017e+02,
+3.272940217e+08,-1.034320755e+02,
+3.272945652e+08,-1.068547134e+02,
+3.272951087e+08,-1.061018295e+02,
+3.272956522e+08,-1.054163895e+02,
+3.272961957e+08,-1.060693893e+02,
+3.272967391e+08,-1.059350052e+02,
+3.272972826e+08,-1.079628983e+02,
+3.272978261e+08,-1.055585709e+02,
+3.272983696e+08,-1.070116196e+02,
+3.272989130e+08,-1.067813644e+02,
+3.272994565e+08,-1.061972733e+02,
+3.273000000e+08,-1.059103775e+02,
+3.273005435e+08,-1.068347397e+02,
+3.273010870e+08,-1.063269730e+02,
+3.273016304e+08,-1.055211945e+02,
+3.273021739e+08,-1.070020294e+02,
+3.273027174e+08,-1.048675461e+02,
+3.273032609e+08,-1.060854721e+02,
+3.273038043e+08,-1.063278732e+02,
+3.273043478e+08,-1.063541412e+02,
+3.273048913e+08,-1.051129837e+02,
+3.273054348e+08,-1.057704391e+02,
+3.273059783e+08,-1.065212250e+02,
+3.273065217e+08,-1.054336319e+02,
+3.273070652e+08,-1.066884155e+02,
+3.273076087e+08,-1.057578964e+02,
+3.273081522e+08,-1.063824768e+02,
+3.273086957e+08,-1.058300323e+02,
+3.273092391e+08,-1.060985870e+02,
+3.273097826e+08,-1.057134857e+02,
+3.273103261e+08,-1.049582214e+02,
+3.273108696e+08,-1.072549362e+02,
+3.273114130e+08,-1.059482651e+02,
