#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
05:08:39 04.23.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-9.106999969e+01,
+3.250086957e+08,-9.599369812e+01,
+3.250173913e+08,-9.778144073e+01,
+3.250260870e+08,-9.745753479e+01,
+3.250347826e+08,-9.738269806e+01,
+3.250434783e+08,-9.744168091e+01,
+3.250521739e+08,-9.834406281e+01,
+3.250608696e+08,-9.793527222e+01,
+3.250695652e+08,-9.859788513e+01,
+3.250782609e+08,-9.748490906e+01,
+3.250869565e+08,-9.714620972e+01,
+3.250956522e+08,-9.690133667e+01,
+3.251043478e+08,-9.827024841e+01,
+3.251130435e+08,-9.729188538e+01,
+3.251217391e+08,-9.659492493e+01,
+3.251304348e+08,-9.668879700e+01,
+3.251391304e+08,-9.735940552e+01,
+3.251478261e+08,-9.783032227e+01,
+3.251565217e+08,-9.781315613e+01,
+3.251652174e+08,-9.852259827e+01,
+3.251739130e+08,-9.809674072e+01,
+3.251826087e+08,-9.765626526e+01,
+3.251913043e+08,-9.720681763e+01,
+3.252000000e+08,-9.819383240e+01,
+3.252086957e+08,-9.770841980e+01,
+3.252173913e+08,-9.758880615e+01,
+3.252260870e+08,-9.839683533e+01,
+3.252347826e+08,-9.718853760e+01,
+3.252434783e+08,-9.766337585e+01,
+3.252521739e+08,-9.680237579e+01,
+3.252608696e+08,-9.733909607e+01,
+3.252695652e+08,-9.748303223e+01,
+3.252782609e+08,-9.743407440e+01,
+3.252869565e+08,-9.847754669e+01,
+3.252956522e+08,-9.744664001e+01,
+3.253043478e+08,-9.714355469e+01,
+3.253130435e+08,-9.729871368e+01,
+3.253217391e+08,-9.759001160e+01,
+3.253304348e+08,-9.794982147e+01,
+3.253391304e+08,-9.786384583e+01,
+3.253478261e+08,-9.827540588e+01,
+3.253565217e+08,-9.791213989e+01,
+3.253652174e+08,-9.761083984e+01,
+3.253739130e+08,-9.830297852e+01,
+3.253826087e+08,-9.754879761e+01,
+3.253913043e+08,-9.693474579e+01,
