#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
23:44:51 04.12.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-7.509554291e+01,
+3.171739130e+06,-7.428235626e+01,
+5.343478261e+06,-7.187603760e+01,
+7.515217391e+06,-7.690505981e+01,
+9.686956522e+06,-7.038923645e+01,
+1.185869565e+07,-7.706541443e+01,
+1.403043478e+07,-7.813984680e+01,
+1.620217391e+07,-7.511363220e+01,
+1.837391304e+07,-6.801168823e+01,
+2.054565217e+07,-6.375518417e+01,
+2.271739130e+07,-7.322085571e+01,
+2.488913043e+07,-7.633306885e+01,
+2.706086957e+07,-7.262414551e+01,
+2.923260870e+07,-8.141654968e+01,
+3.140434783e+07,-8.367992401e+01,
+3.357608696e+07,-7.805535889e+01,
+3.574782609e+07,-7.972882080e+01,
+3.791956522e+07,-7.893263245e+01,
+4.009130435e+07,-7.920846558e+01,
+4.226304348e+07,-7.806589508e+01,
+4.443478261e+07,-7.744473267e+01,
+4.660652174e+07,-8.003150940e+01,
+4.877826087e+07,-8.613474274e+01,
+5.095000000e+07,-8.537649536e+01,
+5.312173913e+07,-8.259814453e+01,
+5.529347826e+07,-8.243331146e+01,
+5.746521739e+07,-8.594281769e+01,
+5.963695652e+07,-8.033157349e+01,
+6.180869565e+07,-8.261644745e+01,
+6.398043478e+07,-8.681237030e+01,
+6.615217391e+07,-8.870606995e+01,
+6.832391304e+07,-9.547425079e+01,
+7.049565217e+07,-9.680847168e+01,
+7.266739130e+07,-9.302185059e+01,
+7.483913043e+07,-9.591600037e+01,
+7.701086957e+07,-9.596527100e+01,
+7.918260870e+07,-9.133253479e+01,
+8.135434783e+07,-9.851907349e+01,
+8.352608696e+07,-8.081700134e+01,
+8.569782609e+07,-9.121508789e+01,
+8.786956522e+07,-8.978108215e+01,
+9.004130435e+07,-9.256079102e+01,
+9.221304348e+07,-6.800021362e+01,
+9.438478261e+07,-7.359853363e+01,
+9.655652174e+07,-7.887607574e+01,
+9.872826087e+07,-7.761001587e+01,
+1.009000000e+08,-9.613897705e+01,
+1.030717391e+08,-9.219297791e+01,
+1.052434783e+08,-9.124973297e+01,
+1.074152174e+08,-9.018052673e+01,
+1.095869565e+08,-9.053184509e+01,
+1.117586957e+08,-9.889360809e+01,
+1.139304348e+08,-1.000495300e+02,
+1.161021739e+08,-9.868714905e+01,
+1.182739130e+08,-1.025996552e+02,
+1.204456522e+08,-8.712524414e+01,
+1.226173913e+08,-9.246600342e+01,
+1.247891304e+08,-9.999612427e+01,
+1.269608696e+08,-1.025310135e+02,
+1.291326087e+08,-1.016039505e+02,
+1.313043478e+08,-1.044403000e+02,
+1.334760870e+08,-9.070830536e+01,
+1.356478261e+08,-1.014389954e+02,
+1.378195652e+08,-9.687268066e+01,
+1.399913043e+08,-1.003893356e+02,
+1.421630435e+08,-1.020501556e+02,
+1.443347826e+08,-9.778411102e+01,
+1.465065217e+08,-1.000894775e+02,
+1.486782609e+08,-9.305747986e+01,
