#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
06:44:55 04.13.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-7.362461090e+01,
+3.171739130e+06,-7.769245148e+01,
+5.343478261e+06,-8.566291809e+01,
+7.515217391e+06,-6.997498322e+01,
+9.686956522e+06,-7.743240356e+01,
+1.185869565e+07,-7.437705994e+01,
+1.403043478e+07,-7.780339813e+01,
+1.620217391e+07,-7.749080658e+01,
+1.837391304e+07,-7.100917053e+01,
+2.054565217e+07,-6.258776474e+01,
+2.271739130e+07,-7.709056091e+01,
+2.488913043e+07,-7.819527435e+01,
+2.706086957e+07,-7.438784790e+01,
+2.923260870e+07,-8.099732208e+01,
+3.140434783e+07,-8.376572418e+01,
+3.357608696e+07,-8.148872375e+01,
+3.574782609e+07,-7.845871735e+01,
+3.791956522e+07,-8.075005341e+01,
+4.009130435e+07,-7.611544037e+01,
+4.226304348e+07,-8.257900238e+01,
+4.443478261e+07,-7.691085815e+01,
+4.660652174e+07,-7.840956116e+01,
+4.877826087e+07,-8.795517731e+01,
+5.095000000e+07,-8.763941193e+01,
+5.312173913e+07,-8.466558075e+01,
+5.529347826e+07,-8.358856964e+01,
+5.746521739e+07,-8.609780884e+01,
+5.963695652e+07,-7.841312408e+01,
+6.180869565e+07,-7.980304718e+01,
+6.398043478e+07,-8.640191650e+01,
+6.615217391e+07,-8.933844757e+01,
+6.832391304e+07,-9.725945282e+01,
+7.049565217e+07,-9.528424835e+01,
+7.266739130e+07,-9.412310791e+01,
+7.483913043e+07,-9.662005615e+01,
+7.701086957e+07,-9.699137878e+01,
+7.918260870e+07,-8.961154938e+01,
+8.135434783e+07,-9.577191925e+01,
+8.352608696e+07,-8.078905487e+01,
+8.569782609e+07,-8.976003265e+01,
+8.786956522e+07,-8.355554199e+01,
+9.004130435e+07,-9.118989563e+01,
+9.221304348e+07,-7.043042755e+01,
+9.438478261e+07,-6.908942413e+01,
+9.655652174e+07,-7.080513000e+01,
+9.872826087e+07,-7.019127655e+01,
+1.009000000e+08,-9.238677216e+01,
+1.030717391e+08,-9.083849335e+01,
+1.052434783e+08,-9.118078613e+01,
+1.074152174e+08,-9.007071686e+01,
+1.095869565e+08,-9.008111572e+01,
+1.117586957e+08,-9.692688751e+01,
+1.139304348e+08,-1.000656967e+02,
+1.161021739e+08,-9.830980682e+01,
+1.182739130e+08,-9.968367004e+01,
+1.204456522e+08,-8.750063324e+01,
+1.226173913e+08,-9.367268372e+01,
+1.247891304e+08,-9.818365479e+01,
+1.269608696e+08,-1.034949951e+02,
+1.291326087e+08,-9.909561920e+01,
+1.313043478e+08,-1.030785599e+02,
+1.334760870e+08,-9.077346039e+01,
+1.356478261e+08,-1.005843353e+02,
+1.378195652e+08,-9.977474213e+01,
+1.399913043e+08,-9.717878723e+01,
+1.421630435e+08,-1.015531387e+02,
+1.443347826e+08,-9.509520721e+01,
+1.465065217e+08,-9.853078461e+01,
+1.486782609e+08,-7.627816772e+01,
