#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
09:06:23 04.11.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-7.362152100e+01,
+3.171739130e+06,-7.570139313e+01,
+5.343478261e+06,-7.852513123e+01,
+7.515217391e+06,-8.185312653e+01,
+9.686956522e+06,-7.154009247e+01,
+1.185869565e+07,-7.057093811e+01,
+1.403043478e+07,-6.414909363e+01,
+1.620217391e+07,-6.520704651e+01,
+1.837391304e+07,-6.756155396e+01,
+2.054565217e+07,-6.659544373e+01,
+2.271739130e+07,-7.845025635e+01,
+2.488913043e+07,-7.100971222e+01,
+2.706086957e+07,-7.084138489e+01,
+2.923260870e+07,-8.084694672e+01,
+3.140434783e+07,-8.182482147e+01,
+3.357608696e+07,-7.734170532e+01,
+3.574782609e+07,-8.022020721e+01,
+3.791956522e+07,-8.037671661e+01,
+4.009130435e+07,-8.295212555e+01,
+4.226304348e+07,-8.321356201e+01,
+4.443478261e+07,-7.562848663e+01,
+4.660652174e+07,-7.865914154e+01,
+4.877826087e+07,-9.045953369e+01,
+5.095000000e+07,-8.878079987e+01,
+5.312173913e+07,-8.358145142e+01,
+5.529347826e+07,-8.407810974e+01,
+5.746521739e+07,-8.379478455e+01,
+5.963695652e+07,-8.159712219e+01,
+6.180869565e+07,-8.143286896e+01,
+6.398043478e+07,-8.739930725e+01,
+6.615217391e+07,-8.952474976e+01,
+6.832391304e+07,-9.809495544e+01,
+7.049565217e+07,-9.687239838e+01,
+7.266739130e+07,-9.705786896e+01,
+7.483913043e+07,-9.675918579e+01,
+7.701086957e+07,-9.636614990e+01,
+7.918260870e+07,-9.138689423e+01,
+8.135434783e+07,-9.155464935e+01,
+8.352608696e+07,-7.745147705e+01,
+8.569782609e+07,-9.098598480e+01,
+8.786956522e+07,-8.649357605e+01,
+9.004130435e+07,-9.402405548e+01,
+9.221304348e+07,-6.390954208e+01,
+9.438478261e+07,-7.542829895e+01,
+9.655652174e+07,-6.008786774e+01,
+9.872826087e+07,-7.709426880e+01,
+1.009000000e+08,-9.787166595e+01,
+1.030717391e+08,-9.698292542e+01,
+1.052434783e+08,-9.327512360e+01,
+1.074152174e+08,-9.030120850e+01,
+1.095869565e+08,-9.145433044e+01,
+1.117586957e+08,-9.538497925e+01,
+1.139304348e+08,-1.007845917e+02,
+1.161021739e+08,-1.016415939e+02,
+1.182739130e+08,-9.791077423e+01,
+1.204456522e+08,-8.985905457e+01,
+1.226173913e+08,-9.552507019e+01,
+1.247891304e+08,-9.816778564e+01,
+1.269608696e+08,-1.037370529e+02,
+1.291326087e+08,-1.032695923e+02,
+1.313043478e+08,-1.048527069e+02,
+1.334760870e+08,-9.620252991e+01,
+1.356478261e+08,-1.031313629e+02,
+1.378195652e+08,-1.001245041e+02,
+1.399913043e+08,-9.809452820e+01,
+1.421630435e+08,-9.844844055e+01,
+1.443347826e+08,-9.790660095e+01,
+1.465065217e+08,-1.001752243e+02,
+1.486782609e+08,-9.630603027e+01,
