#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
05:01:54 04.21.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-8.421428680e+01,
+3.250086957e+08,-9.775448608e+01,
+3.250173913e+08,-9.726732635e+01,
+3.250260870e+08,-9.725220490e+01,
+3.250347826e+08,-9.747101593e+01,
+3.250434783e+08,-9.703929138e+01,
+3.250521739e+08,-9.795702362e+01,
+3.250608696e+08,-9.481351471e+01,
+3.250695652e+08,-9.659684753e+01,
+3.250782609e+08,-9.629416656e+01,
+3.250869565e+08,-9.311125946e+01,
+3.250956522e+08,-9.730378723e+01,
+3.251043478e+08,-9.678175354e+01,
+3.251130435e+08,-9.728967285e+01,
+3.251217391e+08,-8.995412445e+01,
+3.251304348e+08,-9.460717010e+01,
+3.251391304e+08,-9.802643585e+01,
+3.251478261e+08,-9.676589203e+01,
+3.251565217e+08,-9.712317657e+01,
+3.251652174e+08,-9.699254608e+01,
+3.251739130e+08,-9.721764374e+01,
+3.251826087e+08,-9.407961273e+01,
+3.251913043e+08,-9.480839539e+01,
+3.252000000e+08,-9.497891235e+01,
+3.252086957e+08,-9.241448212e+01,
+3.252173913e+08,-9.708283234e+01,
+3.252260870e+08,-9.819039154e+01,
+3.252347826e+08,-9.761744690e+01,
+3.252434783e+08,-9.638381195e+01,
+3.252521739e+08,-9.726954651e+01,
+3.252608696e+08,-9.626888275e+01,
+3.252695652e+08,-9.800373077e+01,
+3.252782609e+08,-9.783910370e+01,
+3.252869565e+08,-9.556655121e+01,
+3.252956522e+08,-9.706552124e+01,
+3.253043478e+08,-9.709729767e+01,
+3.253130435e+08,-9.771727753e+01,
+3.253217391e+08,-9.663591766e+01,
+3.253304348e+08,-9.749291992e+01,
+3.253391304e+08,-9.695281219e+01,
+3.253478261e+08,-9.669869995e+01,
+3.253565217e+08,-9.814360046e+01,
+3.253652174e+08,-9.406699371e+01,
+3.253739130e+08,-9.623699951e+01,
+3.253826087e+08,-9.834695435e+01,
+3.253913043e+08,-9.653115845e+01,
