#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
20:45:34 04.05.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.032857437e+02,
+3.272755435e+08,-1.053234253e+02,
+3.272760870e+08,-1.071585541e+02,
+3.272766304e+08,-1.063332443e+02,
+3.272771739e+08,-1.052942123e+02,
+3.272777174e+08,-1.069694061e+02,
+3.272782609e+08,-1.072121658e+02,
+3.272788043e+08,-1.052438278e+02,
+3.272793478e+08,-1.063802490e+02,
+3.272798913e+08,-1.057967148e+02,
+3.272804348e+08,-1.037145309e+02,
+3.272809783e+08,-1.058634644e+02,
+3.272815217e+08,-1.055369797e+02,
+3.272820652e+08,-1.053605194e+02,
+3.272826087e+08,-1.080155411e+02,
+3.272831522e+08,-1.068347702e+02,
+3.272836957e+08,-1.068203964e+02,
+3.272842391e+08,-1.051063843e+02,
+3.272847826e+08,-1.052119446e+02,
+3.272853261e+08,-1.049823914e+02,
+3.272858696e+08,-1.045827026e+02,
+3.272864130e+08,-1.051535645e+02,
+3.272869565e+08,-1.057166061e+02,
+3.272875000e+08,-1.057806320e+02,
+3.272880435e+08,-1.069009781e+02,
+3.272885870e+08,-1.056260376e+02,
+3.272891304e+08,-1.065605164e+02,
+3.272896739e+08,-1.051727295e+02,
+3.272902174e+08,-1.052266998e+02,
+3.272907609e+08,-1.054537659e+02,
+3.272913043e+08,-1.049210358e+02,
+3.272918478e+08,-1.048364334e+02,
+3.272923913e+08,-1.046549072e+02,
+3.272929348e+08,-1.060906906e+02,
+3.272934783e+08,-1.060452728e+02,
+3.272940217e+08,-1.003090286e+02,
+3.272945652e+08,-1.058588409e+02,
+3.272951087e+08,-1.057691116e+02,
+3.272956522e+08,-1.058470306e+02,
+3.272961957e+08,-1.061649323e+02,
+3.272967391e+08,-1.071598358e+02,
+3.272972826e+08,-1.060183487e+02,
+3.272978261e+08,-1.062228775e+02,
+3.272983696e+08,-1.052937088e+02,
+3.272989130e+08,-1.045305557e+02,
+3.272994565e+08,-1.068762360e+02,
+3.273000000e+08,-1.048638992e+02,
+3.273005435e+08,-1.073448257e+02,
+3.273010870e+08,-1.063188324e+02,
+3.273016304e+08,-1.044658356e+02,
+3.273021739e+08,-1.068576279e+02,
+3.273027174e+08,-1.054162598e+02,
+3.273032609e+08,-1.073569565e+02,
+3.273038043e+08,-1.067752991e+02,
+3.273043478e+08,-1.047838669e+02,
+3.273048913e+08,-1.066337280e+02,
+3.273054348e+08,-1.081593704e+02,
+3.273059783e+08,-1.070753326e+02,
+3.273065217e+08,-1.072854691e+02,
+3.273070652e+08,-1.069996033e+02,
+3.273076087e+08,-1.048945389e+02,
+3.273081522e+08,-1.062034912e+02,
+3.273086957e+08,-1.049680481e+02,
+3.273092391e+08,-1.046072998e+02,
+3.273097826e+08,-1.066626205e+02,
+3.273103261e+08,-1.076015778e+02,
+3.273108696e+08,-1.042414551e+02,
+3.273114130e+08,-1.045799866e+02,
