#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
23:01:12 04.06.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.057551727e+02,
+3.272755435e+08,-1.056258850e+02,
+3.272760870e+08,-1.048403625e+02,
+3.272766304e+08,-1.053645935e+02,
+3.272771739e+08,-1.045041580e+02,
+3.272777174e+08,-1.048594055e+02,
+3.272782609e+08,-1.056606216e+02,
+3.272788043e+08,-1.038636932e+02,
+3.272793478e+08,-1.051852875e+02,
+3.272798913e+08,-1.053836365e+02,
+3.272804348e+08,-1.047761765e+02,
+3.272809783e+08,-1.058603897e+02,
+3.272815217e+08,-1.059701004e+02,
+3.272820652e+08,-1.051576157e+02,
+3.272826087e+08,-1.054917145e+02,
+3.272831522e+08,-1.048203278e+02,
+3.272836957e+08,-1.054255447e+02,
+3.272842391e+08,-1.054932556e+02,
+3.272847826e+08,-1.038352814e+02,
+3.272853261e+08,-1.058645248e+02,
+3.272858696e+08,-1.052307663e+02,
+3.272864130e+08,-1.055403442e+02,
+3.272869565e+08,-1.038981857e+02,
+3.272875000e+08,-1.067334671e+02,
+3.272880435e+08,-1.046323242e+02,
+3.272885870e+08,-1.064154816e+02,
+3.272891304e+08,-1.044753265e+02,
+3.272896739e+08,-1.047492981e+02,
+3.272902174e+08,-1.060247726e+02,
+3.272907609e+08,-1.052180405e+02,
+3.272913043e+08,-1.056042709e+02,
+3.272918478e+08,-1.046472549e+02,
+3.272923913e+08,-1.052270889e+02,
+3.272929348e+08,-1.036557617e+02,
+3.272934783e+08,-1.057629318e+02,
+3.272940217e+08,-1.061978912e+02,
+3.272945652e+08,-1.030764465e+02,
+3.272951087e+08,-1.063719330e+02,
+3.272956522e+08,-1.049430542e+02,
+3.272961957e+08,-1.045946655e+02,
+3.272967391e+08,-1.046927185e+02,
+3.272972826e+08,-1.058745270e+02,
+3.272978261e+08,-1.045746689e+02,
+3.272983696e+08,-1.044984131e+02,
+3.272989130e+08,-1.044438324e+02,
+3.272994565e+08,-1.037263107e+02,
+3.273000000e+08,-1.051441879e+02,
+3.273005435e+08,-1.050128555e+02,
+3.273010870e+08,-1.063423691e+02,
+3.273016304e+08,-1.050108414e+02,
+3.273021739e+08,-1.049034500e+02,
+3.273027174e+08,-1.038043442e+02,
+3.273032609e+08,-1.044606552e+02,
+3.273038043e+08,-1.053330765e+02,
+3.273043478e+08,-1.037415466e+02,
+3.273048913e+08,-1.030748749e+02,
+3.273054348e+08,-1.053646698e+02,
+3.273059783e+08,-1.062580643e+02,
+3.273065217e+08,-1.035233688e+02,
+3.273070652e+08,-1.052394257e+02,
+3.273076087e+08,-1.055307922e+02,
+3.273081522e+08,-1.065419464e+02,
+3.273086957e+08,-1.046713715e+02,
+3.273092391e+08,-1.068718262e+02,
+3.273097826e+08,-1.035861435e+02,
+3.273103261e+08,-1.043717651e+02,
+3.273108696e+08,-1.063417969e+02,
+3.273114130e+08,-1.033055344e+02,
