#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
09:57:19 04.17.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-6.381617355e+01,
+3.171739130e+06,-7.231755066e+01,
+5.343478261e+06,-7.241619873e+01,
+7.515217391e+06,-7.768077850e+01,
+9.686956522e+06,-6.753903198e+01,
+1.185869565e+07,-7.707614899e+01,
+1.403043478e+07,-6.442340088e+01,
+1.620217391e+07,-7.310384369e+01,
+1.837391304e+07,-6.541761017e+01,
+2.054565217e+07,-6.648201752e+01,
+2.271739130e+07,-6.821251678e+01,
+2.488913043e+07,-7.288735199e+01,
+2.706086957e+07,-6.944109344e+01,
+2.923260870e+07,-7.685092926e+01,
+3.140434783e+07,-7.724946594e+01,
+3.357608696e+07,-8.007372284e+01,
+3.574782609e+07,-8.575307465e+01,
+3.791956522e+07,-7.862178802e+01,
+4.009130435e+07,-7.973796844e+01,
+4.226304348e+07,-8.148903656e+01,
+4.443478261e+07,-8.138820648e+01,
+4.660652174e+07,-8.099868774e+01,
+4.877826087e+07,-8.387985229e+01,
+5.095000000e+07,-7.712180328e+01,
+5.312173913e+07,-7.892111969e+01,
+5.529347826e+07,-7.391309357e+01,
+5.746521739e+07,-7.469634247e+01,
+5.963695652e+07,-7.551125336e+01,
+6.180869565e+07,-7.920076752e+01,
+6.398043478e+07,-8.141529083e+01,
+6.615217391e+07,-8.785200500e+01,
+6.832391304e+07,-9.007155609e+01,
+7.049565217e+07,-9.100597382e+01,
+7.266739130e+07,-8.825607300e+01,
+7.483913043e+07,-8.500598145e+01,
+7.701086957e+07,-8.748975372e+01,
+7.918260870e+07,-8.623769379e+01,
+8.135434783e+07,-8.408866882e+01,
+8.352608696e+07,-8.482018280e+01,
+8.569782609e+07,-8.488951874e+01,
+8.786956522e+07,-8.820429230e+01,
+9.004130435e+07,-9.452536774e+01,
+9.221304348e+07,-7.251402283e+01,
+9.438478261e+07,-7.542560577e+01,
+9.655652174e+07,-7.520641327e+01,
+9.872826087e+07,-7.384102631e+01,
+1.009000000e+08,-9.235306549e+01,
+1.030717391e+08,-9.329141998e+01,
+1.052434783e+08,-9.547823334e+01,
+1.074152174e+08,-9.547682190e+01,
+1.095869565e+08,-9.294466400e+01,
+1.117586957e+08,-9.377846527e+01,
+1.139304348e+08,-9.805176544e+01,
+1.161021739e+08,-1.020546417e+02,
+1.182739130e+08,-1.019329605e+02,
+1.204456522e+08,-9.092990875e+01,
+1.226173913e+08,-1.016565475e+02,
+1.247891304e+08,-1.047743759e+02,
+1.269608696e+08,-1.001661148e+02,
+1.291326087e+08,-9.935698700e+01,
+1.313043478e+08,-1.014973602e+02,
+1.334760870e+08,-9.291464996e+01,
+1.356478261e+08,-9.791265106e+01,
+1.378195652e+08,-9.599420166e+01,
+1.399913043e+08,-9.647167206e+01,
+1.421630435e+08,-1.025432053e+02,
+1.443347826e+08,-9.729109192e+01,
+1.465065217e+08,-9.774646759e+01,
+1.486782609e+08,-9.854668427e+01,
