#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
15:36:02 04.14.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-7.687948608e+01,
+3.171739130e+06,-7.526553345e+01,
+5.343478261e+06,-7.663679504e+01,
+7.515217391e+06,-8.034202576e+01,
+9.686956522e+06,-7.797050476e+01,
+1.185869565e+07,-7.531321716e+01,
+1.403043478e+07,-7.532790375e+01,
+1.620217391e+07,-6.150716400e+01,
+1.837391304e+07,-6.337284851e+01,
+2.054565217e+07,-6.600607300e+01,
+2.271739130e+07,-7.144653320e+01,
+2.488913043e+07,-7.162066650e+01,
+2.706086957e+07,-7.237139130e+01,
+2.923260870e+07,-7.436537170e+01,
+3.140434783e+07,-7.740154266e+01,
+3.357608696e+07,-8.241190338e+01,
+3.574782609e+07,-8.008480835e+01,
+3.791956522e+07,-7.694364929e+01,
+4.009130435e+07,-7.688705444e+01,
+4.226304348e+07,-7.847856140e+01,
+4.443478261e+07,-7.739109802e+01,
+4.660652174e+07,-8.300683594e+01,
+4.877826087e+07,-8.674356079e+01,
+5.095000000e+07,-8.406600189e+01,
+5.312173913e+07,-8.011977386e+01,
+5.529347826e+07,-8.094949341e+01,
+5.746521739e+07,-8.442559814e+01,
+5.963695652e+07,-7.603233337e+01,
+6.180869565e+07,-8.421994781e+01,
+6.398043478e+07,-8.466227722e+01,
+6.615217391e+07,-8.600151825e+01,
+6.832391304e+07,-9.373748779e+01,
+7.049565217e+07,-9.399574280e+01,
+7.266739130e+07,-8.816965485e+01,
+7.483913043e+07,-9.943275452e+01,
+7.701086957e+07,-9.860653687e+01,
+7.918260870e+07,-8.657506561e+01,
+8.135434783e+07,-9.538433838e+01,
+8.352608696e+07,-8.878456116e+01,
+8.569782609e+07,-9.554354095e+01,
+8.786956522e+07,-9.634458923e+01,
+9.004130435e+07,-9.935318756e+01,
+9.221304348e+07,-6.679724884e+01,
+9.438478261e+07,-6.800215912e+01,
+9.655652174e+07,-6.983183289e+01,
+9.872826087e+07,-6.843235779e+01,
+1.009000000e+08,-9.632035828e+01,
+1.030717391e+08,-9.338805389e+01,
+1.052434783e+08,-9.639966583e+01,
+1.074152174e+08,-9.554334259e+01,
+1.095869565e+08,-9.420779419e+01,
+1.117586957e+08,-9.648078918e+01,
+1.139304348e+08,-1.006662521e+02,
+1.161021739e+08,-1.016293716e+02,
+1.182739130e+08,-9.706222534e+01,
+1.204456522e+08,-9.136883545e+01,
+1.226173913e+08,-9.524207306e+01,
+1.247891304e+08,-9.680186462e+01,
+1.269608696e+08,-1.050106354e+02,
+1.291326087e+08,-9.832186127e+01,
+1.313043478e+08,-1.028704376e+02,
+1.334760870e+08,-8.861392212e+01,
+1.356478261e+08,-9.630949402e+01,
+1.378195652e+08,-9.399729156e+01,
+1.399913043e+08,-8.962828064e+01,
+1.421630435e+08,-9.584239197e+01,
+1.443347826e+08,-9.290535736e+01,
+1.465065217e+08,-9.630693054e+01,
+1.486782609e+08,-9.488179016e+01,
