#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
09:38:33 04.15.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
+2.550934783e+08,-1.041543579e+02,
+2.572652174e+08,-1.030131683e+02,
+2.594369565e+08,-1.046429443e+02,
+2.616086957e+08,-1.040888290e+02,
+2.637804348e+08,-1.046197968e+02,
+2.659521739e+08,-1.040083008e+02,
+2.681239130e+08,-1.053156891e+02,
+2.702956522e+08,-1.048287048e+02,
+2.724673913e+08,-1.051499252e+02,
+2.746391304e+08,-1.041565552e+02,
+2.768108696e+08,-1.049045715e+02,
+2.789826087e+08,-1.043743362e+02,
+2.811543478e+08,-1.038667908e+02,
+2.833260870e+08,-1.037739792e+02,
+2.854978261e+08,-1.039341431e+02,
+2.876695652e+08,-1.038778458e+02,
+2.898413043e+08,-1.038741226e+02,
+2.920130435e+08,-1.041069489e+02,
+2.941847826e+08,-1.043872757e+02,
+2.963565217e+08,-1.044862213e+02,
+2.985282609e+08,-1.048378220e+02,
+3.007000000e+08,-1.036376648e+02,
+3.028717391e+08,-1.032523041e+02,
+3.050434783e+08,-1.035308228e+02,
+3.072152174e+08,-1.054491577e+02,
+3.093869565e+08,-1.044759216e+02,
+3.115586957e+08,-1.048256302e+02,
+3.137304348e+08,-1.038350830e+02,
+3.159021739e+08,-1.046732483e+02,
+3.180739130e+08,-1.038313904e+02,
+3.202456522e+08,-1.045614166e+02,
+3.224173913e+08,-1.041438293e+02,
+3.245891304e+08,-1.041635056e+02,
+3.267608696e+08,-1.042759323e+02,
+3.289326087e+08,-1.039533920e+02,
+3.311043478e+08,-1.041838455e+02,
+3.332760870e+08,-1.050930405e+02,
+3.354478261e+08,-1.039100876e+02,
+3.376195652e+08,-1.037146225e+02,
+3.397913043e+08,-1.033359909e+02,
+3.419630435e+08,-1.044014435e+02,
+3.441347826e+08,-1.040639114e+02,
+3.463065217e+08,-1.036497955e+02,
+3.484782609e+08,-1.042784882e+02,
+3.506500000e+08,-1.034723358e+02,
+3.528217391e+08,-1.040809937e+02,
+3.549934783e+08,-1.041100235e+02,
+3.571652174e+08,-1.039145203e+02,
+3.593369565e+08,-1.025989075e+02,
+3.615086957e+08,-1.040619583e+02,
+3.636804348e+08,-1.029135056e+02,
+3.658521739e+08,-1.037110672e+02,
+3.680239130e+08,-1.033958206e+02,
+3.701956522e+08,-1.038773422e+02,
+3.723673913e+08,-1.031262360e+02,
+3.745391304e+08,-1.043019104e+02,
+3.767108696e+08,-1.033229904e+02,
+3.788826087e+08,-1.044124527e+02,
+3.810543478e+08,-1.050834885e+02,
+3.832260870e+08,-1.029205475e+02,
+3.853978261e+08,-1.044927902e+02,
+3.875695652e+08,-1.051035461e+02,
+3.897413043e+08,-1.044735489e+02,
+3.919130435e+08,-1.040244675e+02,
+3.940847826e+08,-1.032496338e+02,
+3.962565217e+08,-1.027824402e+02,
+3.984282609e+08,-1.038184128e+02,
+4.006000000e+08,-1.040516052e+02,
+4.027717391e+08,-1.032548370e+02,
+4.049434783e+08,-1.041619568e+02,
+4.071152174e+08,-1.046716080e+02,
+4.092869565e+08,-1.034269028e+02,
+4.114586957e+08,-1.038890152e+02,
+4.136304348e+08,-1.046812515e+02,
+4.158021739e+08,-1.042730560e+02,
+4.179739130e+08,-1.041266785e+02,
+4.201456522e+08,-1.032528381e+02,
+4.223173913e+08,-1.043004990e+02,
+4.244891304e+08,-1.048843994e+02,
+4.266608696e+08,-1.042697601e+02,
+4.288326087e+08,-1.035421906e+02,
+4.310043478e+08,-1.044963303e+02,
+4.331760870e+08,-1.047675629e+02,
+4.353478261e+08,-1.046158752e+02,
+4.375195652e+08,-1.048802948e+02,
+4.396913043e+08,-1.047143326e+02,
+4.418630435e+08,-1.036943207e+02,
+4.440347826e+08,-1.045670395e+02,
+4.462065217e+08,-1.037787018e+02,
+4.483782609e+08,-1.039404984e+02,
+4.505500000e+08,-1.048620682e+02,
+4.527217391e+08,-1.055485992e+02,
+4.548934783e+08,-1.033968658e+02,
+4.570652174e+08,-1.048026276e+02,
+4.592369565e+08,-1.049986801e+02,
+4.614086957e+08,-1.046716309e+02,
+4.635804348e+08,-1.035548248e+02,
+4.657521739e+08,-1.050640182e+02,
+4.679239130e+08,-1.052238464e+02,
+4.700956522e+08,-1.050474243e+02,
+4.722673913e+08,-1.048981476e+02,
+4.744391304e+08,-1.049424515e+02,
+4.766108696e+08,-1.045524292e+02,
+4.787826087e+08,-1.053170242e+02,
+4.809543478e+08,-1.052096863e+02,
+4.831260870e+08,-1.047886276e+02,
+4.852978261e+08,-1.057770004e+02,
+4.874695652e+08,-1.054436874e+02,
+4.896413043e+08,-1.056278305e+02,
+4.918130435e+08,-1.054589615e+02,
+4.939847826e+08,-1.048301468e+02,
+4.961565217e+08,-1.060556946e+02,
+4.983282609e+08,-1.047882690e+02,
+5.005000000e+08,-1.055603485e+02,
+5.026717391e+08,-1.057313690e+02,
+5.048434783e+08,-1.048200455e+02,
+5.070152174e+08,-1.048027725e+02,
+5.091869565e+08,-1.061294327e+02,
+5.113586957e+08,-1.049432297e+02,
+5.135304348e+08,-1.043156509e+02,
+5.157021739e+08,-1.056504059e+02,
+5.178739130e+08,-1.050308914e+02,
+5.200456522e+08,-1.033147736e+02,
+5.222173913e+08,-1.058646164e+02,
+5.243891304e+08,-1.059201965e+02,
+5.265608696e+08,-1.053070984e+02,
+5.287326087e+08,-1.049692688e+02,
+5.309043478e+08,-1.052412567e+02,
+5.330760870e+08,-1.044723663e+02,
+5.352478261e+08,-1.050488586e+02,
+5.374195652e+08,-1.049065170e+02,
+5.395913043e+08,-1.062339935e+02,
+5.417630435e+08,-1.057695313e+02,
+5.439347826e+08,-1.055662842e+02,
+5.461065217e+08,-1.051199951e+02,
+5.482782609e+08,-1.040772400e+02,
+5.504500000e+08,-1.059062958e+02,
+5.526217391e+08,-1.057831802e+02,
+5.547934783e+08,-1.050435410e+02,
+5.569652174e+08,-1.054206619e+02,
+5.591369565e+08,-1.056090088e+02,
+5.613086957e+08,-1.057101212e+02,
+5.634804348e+08,-1.053723297e+02,
+5.656521739e+08,-1.054343338e+02,
+5.678239130e+08,-1.054739838e+02,
+5.699956522e+08,-1.042997055e+02,
+5.721673913e+08,-1.060490494e+02,
+5.743391304e+08,-1.055778122e+02,
+5.765108696e+08,-1.051013107e+02,
+5.786826087e+08,-1.055238495e+02,
+5.808543478e+08,-1.055320053e+02,
+5.830260870e+08,-1.056048813e+02,
+5.851978261e+08,-1.056481857e+02,
+5.873695652e+08,-1.048456573e+02,
+5.895413043e+08,-1.049901733e+02,
+5.917130435e+08,-1.043863602e+02,
+5.938847826e+08,-1.054363251e+02,
+5.960565217e+08,-1.050460587e+02,
+5.982282609e+08,-1.055704956e+02,
+6.004000000e+08,-1.056541977e+02,
+6.025717391e+08,-1.058976059e+02,
+6.047434783e+08,-1.046637878e+02,
+6.069152174e+08,-1.053565826e+02,
+6.090869565e+08,-1.048789673e+02,
+6.112586957e+08,-1.051518860e+02,
+6.134304348e+08,-1.046592865e+02,
+6.156021739e+08,-1.047694931e+02,
+6.177739130e+08,-1.051890945e+02,
+6.199456522e+08,-1.055685501e+02,
+6.221173913e+08,-1.055171509e+02,
+6.242891304e+08,-1.051443100e+02,
+6.264608696e+08,-1.052906418e+02,
+6.286326087e+08,-1.053889084e+02,
+6.308043478e+08,-1.058812027e+02,
+6.329760870e+08,-1.054298782e+02,
+6.351478261e+08,-1.046570740e+02,
+6.373195652e+08,-1.055483093e+02,
+6.394913043e+08,-1.059133911e+02,
+6.416630435e+08,-1.054195557e+02,
+6.438347826e+08,-1.051579285e+02,
+6.460065217e+08,-1.062879333e+02,
+6.481782609e+08,-1.045808105e+02,
+6.503500000e+08,-1.057150192e+02,
+6.525217391e+08,-1.052926636e+02,
+6.546934783e+08,-1.060204315e+02,
+6.568652174e+08,-1.058351135e+02,
+6.590369565e+08,-1.059000931e+02,
+6.612086957e+08,-1.054335175e+02,
+6.633804348e+08,-1.058936005e+02,
+6.655521739e+08,-1.049851456e+02,
+6.677239130e+08,-1.040209579e+02,
+6.698956522e+08,-1.054870071e+02,
+6.720673913e+08,-1.065056458e+02,
+6.742391304e+08,-1.053209686e+02,
+6.764108696e+08,-1.049644623e+02,
+6.785826087e+08,-1.050919037e+02,
+6.807543478e+08,-1.059377899e+02,
+6.829260870e+08,-1.058256149e+02,
+6.850978261e+08,-1.062191315e+02,
+6.872695652e+08,-1.046171951e+02,
+6.894413043e+08,-1.053770294e+02,
+6.916130435e+08,-1.053666840e+02,
+6.937847826e+08,-1.055104752e+02,
+6.959565217e+08,-1.039972839e+02,
+6.981282609e+08,-1.054910736e+02,
+7.003000000e+08,-1.053681335e+02,
+7.024717391e+08,-1.065317459e+02,
+7.046434783e+08,-1.051820374e+02,
+7.068152174e+08,-1.057335510e+02,
+7.089869565e+08,-1.062852783e+02,
+7.111586957e+08,-1.060559540e+02,
+7.133304348e+08,-1.046083374e+02,
+7.155021739e+08,-1.056210861e+02,
+7.176739130e+08,-1.029663696e+02,
+7.198456522e+08,-1.057051239e+02,
+7.220173913e+08,-1.056032181e+02,
+7.241891304e+08,-1.059023819e+02,
+7.263608696e+08,-1.055162888e+02,
+7.285326087e+08,-1.031962662e+02,
+7.307043478e+08,-1.042029953e+02,
+7.328760870e+08,-1.044522705e+02,
+7.350478261e+08,-1.044543839e+02,
+7.372195652e+08,-1.055691071e+02,
+7.393913043e+08,-1.060352020e+02,
+7.415630435e+08,-1.052640762e+02,
+7.437347826e+08,-1.048714600e+02,
+7.459065217e+08,-1.049387589e+02,
+7.480782609e+08,-1.052950974e+02,
+7.502500000e+08,-1.057616882e+02,
+7.524217391e+08,-1.057925186e+02,
+7.545934783e+08,-1.057189331e+02,
+7.567652174e+08,-1.052813263e+02,
+7.589369565e+08,-1.050704498e+02,
+7.611086957e+08,-1.052448044e+02,
+7.632804348e+08,-1.045159225e+02,
+7.654521739e+08,-1.037841568e+02,
+7.676239130e+08,-1.052213135e+02,
+7.697956522e+08,-1.037709351e+02,
+7.719673913e+08,-1.054665680e+02,
+7.741391304e+08,-1.053838882e+02,
+7.763108696e+08,-1.048057480e+02,
+7.784826087e+08,-1.037068329e+02,
+7.806543478e+08,-1.051616440e+02,
+7.828260870e+08,-1.051695099e+02,
+7.849978261e+08,-1.037138214e+02,
+7.871695652e+08,-1.053592224e+02,
+7.893413043e+08,-1.050726166e+02,
+7.915130435e+08,-1.053541031e+02,
+7.936847826e+08,-1.041901932e+02,
+7.958565217e+08,-1.046927109e+02,
+7.980282609e+08,-1.041852875e+02,
+8.002000000e+08,-1.049989014e+02,
+8.023717391e+08,-1.052494812e+02,
+8.045434783e+08,-1.050418930e+02,
+8.067152174e+08,-1.046093826e+02,
+8.088869565e+08,-1.047943954e+02,
+8.110586957e+08,-1.051058807e+02,
+8.132304348e+08,-1.035876312e+02,
+8.154021739e+08,-1.045113068e+02,
+8.175739130e+08,-1.045985031e+02,
+8.197456522e+08,-1.050574341e+02,
+8.219173913e+08,-1.040638962e+02,
+8.240891304e+08,-1.038818970e+02,
+8.262608696e+08,-1.049450073e+02,
+8.284326087e+08,-1.047075653e+02,
+8.306043478e+08,-1.045320740e+02,
+8.327760870e+08,-1.039905167e+02,
+8.349478261e+08,-1.041323090e+02,
+8.371195652e+08,-1.043946304e+02,
+8.392913043e+08,-1.044108429e+02,
+8.414630435e+08,-1.036290970e+02,
+8.436347826e+08,-1.046801376e+02,
+8.458065217e+08,-1.040337906e+02,
+8.479782609e+08,-1.037825546e+02,
+8.501500000e+08,-1.045021896e+02,
+8.523217391e+08,-1.047097092e+02,
+8.544934783e+08,-1.035435562e+02,
+8.566652174e+08,-1.035162659e+02,
+8.588369565e+08,-1.034128647e+02,
+8.610086957e+08,-1.041115265e+02,
+8.631804348e+08,-1.041326065e+02,
+8.653521739e+08,-1.041933060e+02,
+8.675239130e+08,-1.046328201e+02,
+8.696956522e+08,-1.041067581e+02,
+8.718673913e+08,-1.049378433e+02,
+8.740391304e+08,-1.034591522e+02,
+8.762108696e+08,-1.043570557e+02,
+8.783826087e+08,-1.047930908e+02,
+8.805543478e+08,-1.030198135e+02,
+8.827260870e+08,-1.047809601e+02,
+8.848978261e+08,-1.044218292e+02,
+8.870695652e+08,-1.047174377e+02,
+8.892413043e+08,-1.041938934e+02,
+8.914130435e+08,-1.047033844e+02,
+8.935847826e+08,-1.044675903e+02,
+8.957565217e+08,-1.043348923e+02,
+8.979282609e+08,-1.036982574e+02,
+9.001000000e+08,-1.038721313e+02,
+9.022717391e+08,-1.037011108e+02,
+9.044434783e+08,-1.045110779e+02,
+9.066152174e+08,-1.044855576e+02,
+9.087869565e+08,-1.042563629e+02,
+9.109586957e+08,-1.038107452e+02,
+9.131304348e+08,-1.041145020e+02,
+9.153021739e+08,-1.025605011e+02,
+9.174739130e+08,-1.031391296e+02,
+9.196456522e+08,-1.044279633e+02,
+9.218173913e+08,-1.038136826e+02,
+9.239891304e+08,-1.040828400e+02,
+9.261608696e+08,-1.038168869e+02,
+9.283326087e+08,-1.041746902e+02,
+9.305043478e+08,-1.034904251e+02,
+9.326760870e+08,-1.048986664e+02,
+9.348478261e+08,-1.041577606e+02,
+9.370195652e+08,-1.040394516e+02,
+9.391913043e+08,-1.042732086e+02,
+9.413630435e+08,-1.034176483e+02,
+9.435347826e+08,-1.040374069e+02,
+9.457065217e+08,-1.033857880e+02,
+9.478782609e+08,-1.040814056e+02,
+9.500500000e+08,-1.026081772e+02,
+9.522217391e+08,-1.038150635e+02,
+9.543934783e+08,-1.039568329e+02,
