#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
14:19:41 04.07.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.037913895e+02,
+3.272755435e+08,-1.043973923e+02,
+3.272760870e+08,-1.011474915e+02,
+3.272766304e+08,-1.024201584e+02,
+3.272771739e+08,-1.015550537e+02,
+3.272777174e+08,-1.017803574e+02,
+3.272782609e+08,-1.030819168e+02,
+3.272788043e+08,-1.038502350e+02,
+3.272793478e+08,-1.035898209e+02,
+3.272798913e+08,-1.041117859e+02,
+3.272804348e+08,-1.033263550e+02,
+3.272809783e+08,-1.021615067e+02,
+3.272815217e+08,-1.009346390e+02,
+3.272820652e+08,-1.024832230e+02,
+3.272826087e+08,-1.040928268e+02,
+3.272831522e+08,-1.031370087e+02,
+3.272836957e+08,-1.029607086e+02,
+3.272842391e+08,-1.034721756e+02,
+3.272847826e+08,-1.019486465e+02,
+3.272853261e+08,-1.008821564e+02,
+3.272858696e+08,-1.011958237e+02,
+3.272864130e+08,-1.041348343e+02,
+3.272869565e+08,-1.030887299e+02,
+3.272875000e+08,-1.032464905e+02,
+3.272880435e+08,-1.032640076e+02,
+3.272885870e+08,-1.025960236e+02,
+3.272891304e+08,-1.032432556e+02,
+3.272896739e+08,-1.034576721e+02,
+3.272902174e+08,-1.020182190e+02,
+3.272907609e+08,-1.041269836e+02,
+3.272913043e+08,-1.033351212e+02,
+3.272918478e+08,-1.035402069e+02,
+3.272923913e+08,-1.006884766e+02,
+3.272929348e+08,-1.026106186e+02,
+3.272934783e+08,-1.038095779e+02,
+3.272940217e+08,-9.774288940e+01,
+3.272945652e+08,-1.048611679e+02,
+3.272951087e+08,-1.042474518e+02,
+3.272956522e+08,-1.032373962e+02,
+3.272961957e+08,-1.029444199e+02,
+3.272967391e+08,-1.022958984e+02,
+3.272972826e+08,-1.017714920e+02,
+3.272978261e+08,-1.025674667e+02,
+3.272983696e+08,-1.016524582e+02,
+3.272989130e+08,-9.663137817e+01,
+3.272994565e+08,-1.016646423e+02,
+3.273000000e+08,-1.029552917e+02,
+3.273005435e+08,-1.003700790e+02,
+3.273010870e+08,-1.027255173e+02,
+3.273016304e+08,-1.033455124e+02,
+3.273021739e+08,-9.963352966e+01,
+3.273027174e+08,-1.022010117e+02,
+3.273032609e+08,-1.039121170e+02,
+3.273038043e+08,-1.031761703e+02,
+3.273043478e+08,-1.035486069e+02,
+3.273048913e+08,-1.040853653e+02,
+3.273054348e+08,-1.044718857e+02,
+3.273059783e+08,-1.022439423e+02,
+3.273065217e+08,-1.032356949e+02,
+3.273070652e+08,-1.036717148e+02,
+3.273076087e+08,-1.010925598e+02,
+3.273081522e+08,-1.034992218e+02,
+3.273086957e+08,-1.016804733e+02,
+3.273092391e+08,-1.035942688e+02,
+3.273097826e+08,-1.021602631e+02,
+3.273103261e+08,-1.032713547e+02,
+3.273108696e+08,-1.031116867e+02,
+3.273114130e+08,-1.024665604e+02,
