#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
19:35:32 04.24.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-9.256430054e+01,
+3.250086957e+08,-9.820259094e+01,
+3.250173913e+08,-9.758177185e+01,
+3.250260870e+08,-9.783383179e+01,
+3.250347826e+08,-9.718869781e+01,
+3.250434783e+08,-9.754201508e+01,
+3.250521739e+08,-9.877044678e+01,
+3.250608696e+08,-9.702487946e+01,
+3.250695652e+08,-9.800597382e+01,
+3.250782609e+08,-9.759442139e+01,
+3.250869565e+08,-9.710112000e+01,
+3.250956522e+08,-9.705850983e+01,
+3.251043478e+08,-9.741126251e+01,
+3.251130435e+08,-9.789271545e+01,
+3.251217391e+08,-9.425943756e+01,
+3.251304348e+08,-9.736952972e+01,
+3.251391304e+08,-9.780382538e+01,
+3.251478261e+08,-9.780640411e+01,
+3.251565217e+08,-9.862897491e+01,
+3.251652174e+08,-9.862996674e+01,
+3.251739130e+08,-9.861202240e+01,
+3.251826087e+08,-9.759092712e+01,
+3.251913043e+08,-9.717596436e+01,
+3.252000000e+08,-9.712062073e+01,
+3.252086957e+08,-9.767878723e+01,
+3.252173913e+08,-9.825336456e+01,
+3.252260870e+08,-9.720135498e+01,
+3.252347826e+08,-9.914860535e+01,
+3.252434783e+08,-9.748716736e+01,
+3.252521739e+08,-9.799816895e+01,
+3.252608696e+08,-9.814309692e+01,
+3.252695652e+08,-9.780783844e+01,
+3.252782609e+08,-9.757157898e+01,
+3.252869565e+08,-9.862097931e+01,
+3.252956522e+08,-9.683908081e+01,
+3.253043478e+08,-9.742247772e+01,
+3.253130435e+08,-9.829001617e+01,
+3.253217391e+08,-9.770423126e+01,
+3.253304348e+08,-9.706447601e+01,
+3.253391304e+08,-9.572783661e+01,
+3.253478261e+08,-9.842908478e+01,
+3.253565217e+08,-9.748748016e+01,
+3.253652174e+08,-9.729390717e+01,
+3.253739130e+08,-9.639880371e+01,
+3.253826087e+08,-9.595899963e+01,
+3.253913043e+08,-9.788819122e+01,
