#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
14:53:03 04.03.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.047307129e+02,
+3.272755435e+08,-1.039371948e+02,
+3.272760870e+08,-1.043130951e+02,
+3.272766304e+08,-1.030996399e+02,
+3.272771739e+08,-1.041634979e+02,
+3.272777174e+08,-1.047852936e+02,
+3.272782609e+08,-1.027944489e+02,
+3.272788043e+08,-1.037512207e+02,
+3.272793478e+08,-1.053633881e+02,
+3.272798913e+08,-1.041487122e+02,
+3.272804348e+08,-1.053176117e+02,
+3.272809783e+08,-1.044043274e+02,
+3.272815217e+08,-1.046599121e+02,
+3.272820652e+08,-1.050509644e+02,
+3.272826087e+08,-1.033915405e+02,
+3.272831522e+08,-1.047730865e+02,
+3.272836957e+08,-1.038617249e+02,
+3.272842391e+08,-1.047366180e+02,
+3.272847826e+08,-1.040258331e+02,
+3.272853261e+08,-1.040064240e+02,
+3.272858696e+08,-1.061338654e+02,
+3.272864130e+08,-1.033705292e+02,
+3.272869565e+08,-1.051421814e+02,
+3.272875000e+08,-1.052728729e+02,
+3.272880435e+08,-1.054056702e+02,
+3.272885870e+08,-1.036304016e+02,
+3.272891304e+08,-1.038703613e+02,
+3.272896739e+08,-1.049780426e+02,
+3.272902174e+08,-1.055529022e+02,
+3.272907609e+08,-1.055777588e+02,
+3.272913043e+08,-1.038044128e+02,
+3.272918478e+08,-1.036912231e+02,
+3.272923913e+08,-1.018299866e+02,
+3.272929348e+08,-1.028270111e+02,
+3.272934783e+08,-1.025516205e+02,
+3.272940217e+08,-9.820092773e+01,
+3.272945652e+08,-1.046689606e+02,
+3.272951087e+08,-1.022493896e+02,
+3.272956522e+08,-1.034794769e+02,
+3.272961957e+08,-1.027367249e+02,
+3.272967391e+08,-1.040213776e+02,
+3.272972826e+08,-1.049530487e+02,
+3.272978261e+08,-1.041875153e+02,
+3.272983696e+08,-1.048295288e+02,
+3.272989130e+08,-1.058383636e+02,
+3.272994565e+08,-1.049831238e+02,
+3.273000000e+08,-1.000205383e+02,
+3.273005435e+08,-1.036571350e+02,
+3.273010870e+08,-1.042544708e+02,
+3.273016304e+08,-1.028662415e+02,
+3.273021739e+08,-1.040508423e+02,
+3.273027174e+08,-1.036997986e+02,
+3.273032609e+08,-1.038706207e+02,
+3.273038043e+08,-1.047292175e+02,
+3.273043478e+08,-1.034010925e+02,
+3.273048913e+08,-1.044730988e+02,
+3.273054348e+08,-1.060877838e+02,
+3.273059783e+08,-1.033833618e+02,
+3.273065217e+08,-1.046061401e+02,
+3.273070652e+08,-1.037874298e+02,
+3.273076087e+08,-1.032128143e+02,
+3.273081522e+08,-1.047296753e+02,
+3.273086957e+08,-1.038142395e+02,
+3.273092391e+08,-1.045175171e+02,
+3.273097826e+08,-1.034966431e+02,
+3.273103261e+08,-1.035967712e+02,
+3.273108696e+08,-1.040768738e+02,
+3.273114130e+08,-1.031491852e+02,
