#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
05:57:31 04.18.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-7.809720612e+01,
+3.171739130e+06,-8.111370087e+01,
+5.343478261e+06,-8.288744354e+01,
+7.515217391e+06,-8.368913269e+01,
+9.686956522e+06,-7.814916992e+01,
+1.185869565e+07,-8.020925140e+01,
+1.403043478e+07,-7.765763855e+01,
+1.620217391e+07,-8.229405212e+01,
+1.837391304e+07,-7.016400146e+01,
+2.054565217e+07,-6.532005310e+01,
+2.271739130e+07,-7.260028076e+01,
+2.488913043e+07,-7.875370026e+01,
+2.706086957e+07,-7.428378296e+01,
+2.923260870e+07,-8.304004669e+01,
+3.140434783e+07,-8.259558105e+01,
+3.357608696e+07,-8.451521301e+01,
+3.574782609e+07,-8.524784851e+01,
+3.791956522e+07,-8.586024475e+01,
+4.009130435e+07,-8.010169220e+01,
+4.226304348e+07,-8.375828552e+01,
+4.443478261e+07,-8.590885925e+01,
+4.660652174e+07,-8.942926788e+01,
+4.877826087e+07,-8.802517700e+01,
+5.095000000e+07,-8.270007324e+01,
+5.312173913e+07,-8.216227722e+01,
+5.529347826e+07,-8.031545258e+01,
+5.746521739e+07,-8.210979462e+01,
+5.963695652e+07,-7.813491821e+01,
+6.180869565e+07,-8.216172791e+01,
+6.398043478e+07,-8.899333954e+01,
+6.615217391e+07,-9.038404083e+01,
+6.832391304e+07,-8.918215179e+01,
+7.049565217e+07,-9.145412445e+01,
+7.266739130e+07,-8.830429077e+01,
+7.483913043e+07,-9.033522034e+01,
+7.701086957e+07,-8.675074005e+01,
+7.918260870e+07,-9.172101593e+01,
+8.135434783e+07,-9.764338684e+01,
+8.352608696e+07,-8.463504028e+01,
+8.569782609e+07,-8.851067352e+01,
+8.786956522e+07,-8.952700806e+01,
+9.004130435e+07,-9.424382019e+01,
+9.221304348e+07,-6.939695740e+01,
+9.438478261e+07,-7.241157532e+01,
+9.655652174e+07,-7.447431946e+01,
+9.872826087e+07,-7.602624512e+01,
+1.009000000e+08,-1.025685654e+02,
+1.030717391e+08,-1.013795624e+02,
+1.052434783e+08,-1.020743713e+02,
+1.074152174e+08,-9.653820801e+01,
+1.095869565e+08,-1.021109924e+02,
+1.117586957e+08,-9.919258881e+01,
+1.139304348e+08,-9.967321777e+01,
+1.161021739e+08,-1.042116699e+02,
+1.182739130e+08,-1.039702377e+02,
+1.204456522e+08,-9.018108368e+01,
+1.226173913e+08,-1.034542847e+02,
+1.247891304e+08,-1.037031708e+02,
+1.269608696e+08,-1.046978836e+02,
+1.291326087e+08,-1.041327896e+02,
+1.313043478e+08,-1.041313477e+02,
+1.334760870e+08,-9.157865906e+01,
+1.356478261e+08,-1.034283829e+02,
+1.378195652e+08,-1.015127716e+02,
+1.399913043e+08,-1.003694000e+02,
+1.421630435e+08,-1.006169815e+02,
+1.443347826e+08,-9.754759216e+01,
+1.465065217e+08,-1.006418304e+02,
+1.486782609e+08,-9.977968597e+01,
