#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
20:16:10 04.06.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.051578751e+02,
+3.272755435e+08,-1.053553314e+02,
+3.272760870e+08,-1.054795303e+02,
+3.272766304e+08,-1.032032928e+02,
+3.272771739e+08,-1.047207565e+02,
+3.272777174e+08,-1.051955643e+02,
+3.272782609e+08,-1.047242203e+02,
+3.272788043e+08,-1.052969894e+02,
+3.272793478e+08,-1.052689285e+02,
+3.272798913e+08,-1.042305908e+02,
+3.272804348e+08,-1.051893234e+02,
+3.272809783e+08,-1.057947922e+02,
+3.272815217e+08,-1.056191101e+02,
+3.272820652e+08,-1.047245407e+02,
+3.272826087e+08,-1.050900955e+02,
+3.272831522e+08,-1.046580582e+02,
+3.272836957e+08,-1.051223984e+02,
+3.272842391e+08,-1.046002808e+02,
+3.272847826e+08,-1.049706726e+02,
+3.272853261e+08,-1.057562485e+02,
+3.272858696e+08,-1.047372894e+02,
+3.272864130e+08,-1.054029083e+02,
+3.272869565e+08,-1.045927429e+02,
+3.272875000e+08,-1.058313675e+02,
+3.272880435e+08,-1.069675980e+02,
+3.272885870e+08,-1.058727951e+02,
+3.272891304e+08,-1.035322571e+02,
+3.272896739e+08,-1.038158951e+02,
+3.272902174e+08,-1.041070938e+02,
+3.272907609e+08,-1.044630127e+02,
+3.272913043e+08,-1.048888779e+02,
+3.272918478e+08,-1.055502243e+02,
+3.272923913e+08,-1.025650482e+02,
+3.272929348e+08,-1.028000717e+02,
+3.272934783e+08,-1.042491684e+02,
+3.272940217e+08,-1.043314896e+02,
+3.272945652e+08,-1.054492264e+02,
+3.272951087e+08,-1.040906143e+02,
+3.272956522e+08,-1.041896667e+02,
+3.272961957e+08,-1.046073303e+02,
+3.272967391e+08,-1.054114761e+02,
+3.272972826e+08,-1.038472900e+02,
+3.272978261e+08,-1.046887741e+02,
+3.272983696e+08,-1.042997131e+02,
+3.272989130e+08,-1.042210922e+02,
+3.272994565e+08,-1.047323074e+02,
+3.273000000e+08,-1.009541931e+02,
+3.273005435e+08,-1.054174652e+02,
+3.273010870e+08,-1.048346481e+02,
+3.273016304e+08,-1.046682510e+02,
+3.273021739e+08,-1.045577316e+02,
+3.273027174e+08,-1.048471603e+02,
+3.273032609e+08,-1.057450256e+02,
+3.273038043e+08,-1.049464951e+02,
+3.273043478e+08,-1.045739975e+02,
+3.273048913e+08,-1.047178192e+02,
+3.273054348e+08,-1.044884796e+02,
+3.273059783e+08,-1.049501343e+02,
+3.273065217e+08,-1.063890152e+02,
+3.273070652e+08,-1.041779861e+02,
+3.273076087e+08,-1.052960434e+02,
+3.273081522e+08,-1.043307037e+02,
+3.273086957e+08,-1.060498581e+02,
+3.273092391e+08,-1.060853195e+02,
+3.273097826e+08,-1.045622101e+02,
+3.273103261e+08,-1.041022873e+02,
+3.273108696e+08,-1.038968124e+02,
+3.273114130e+08,-1.060047531e+02,
