#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
17:50:31 04.24.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-9.432824707e+01,
+3.250086957e+08,-9.721609497e+01,
+3.250173913e+08,-9.849252319e+01,
+3.250260870e+08,-9.753753662e+01,
+3.250347826e+08,-9.741305542e+01,
+3.250434783e+08,-9.804322815e+01,
+3.250521739e+08,-9.817577362e+01,
+3.250608696e+08,-9.585998535e+01,
+3.250695652e+08,-9.828766632e+01,
+3.250782609e+08,-9.803562927e+01,
+3.250869565e+08,-9.765203094e+01,
+3.250956522e+08,-9.767655945e+01,
+3.251043478e+08,-9.734020996e+01,
+3.251130435e+08,-9.685778809e+01,
+3.251217391e+08,-9.493110657e+01,
+3.251304348e+08,-9.658573151e+01,
+3.251391304e+08,-9.781438446e+01,
+3.251478261e+08,-9.581058502e+01,
+3.251565217e+08,-9.789012909e+01,
+3.251652174e+08,-9.777378082e+01,
+3.251739130e+08,-9.707297516e+01,
+3.251826087e+08,-9.489717102e+01,
+3.251913043e+08,-9.847391510e+01,
+3.252000000e+08,-9.813825989e+01,
+3.252086957e+08,-9.842424774e+01,
+3.252173913e+08,-9.792343903e+01,
+3.252260870e+08,-9.784851074e+01,
+3.252347826e+08,-9.779590607e+01,
+3.252434783e+08,-9.695704651e+01,
+3.252521739e+08,-9.686953735e+01,
+3.252608696e+08,-9.822769165e+01,
+3.252695652e+08,-9.739990234e+01,
+3.252782609e+08,-9.693484497e+01,
+3.252869565e+08,-9.754771423e+01,
+3.252956522e+08,-9.719165039e+01,
+3.253043478e+08,-9.743893433e+01,
+3.253130435e+08,-9.751695251e+01,
+3.253217391e+08,-9.746868896e+01,
+3.253304348e+08,-9.802793121e+01,
+3.253391304e+08,-9.670717621e+01,
+3.253478261e+08,-9.676098633e+01,
+3.253565217e+08,-9.693151093e+01,
+3.253652174e+08,-9.666606903e+01,
+3.253739130e+08,-9.771323395e+01,
+3.253826087e+08,-9.789420319e+01,
+3.253913043e+08,-9.777648163e+01,
