#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
16:15:31 04.05.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.063894730e+02,
+3.272755435e+08,-1.066164017e+02,
+3.272760870e+08,-1.066313400e+02,
+3.272766304e+08,-1.057981491e+02,
+3.272771739e+08,-1.055867996e+02,
+3.272777174e+08,-1.061803207e+02,
+3.272782609e+08,-1.048946152e+02,
+3.272788043e+08,-1.055549088e+02,
+3.272793478e+08,-1.066189804e+02,
+3.272798913e+08,-1.062171097e+02,
+3.272804348e+08,-1.066615372e+02,
+3.272809783e+08,-1.048725357e+02,
+3.272815217e+08,-1.058328934e+02,
+3.272820652e+08,-1.067763748e+02,
+3.272826087e+08,-1.044704208e+02,
+3.272831522e+08,-1.046390762e+02,
+3.272836957e+08,-1.041886826e+02,
+3.272842391e+08,-1.065122147e+02,
+3.272847826e+08,-1.044843979e+02,
+3.272853261e+08,-1.077061844e+02,
+3.272858696e+08,-1.065044937e+02,
+3.272864130e+08,-1.059196091e+02,
+3.272869565e+08,-1.067584305e+02,
+3.272875000e+08,-1.063507309e+02,
+3.272880435e+08,-1.058455582e+02,
+3.272885870e+08,-1.047429886e+02,
+3.272891304e+08,-1.059740677e+02,
+3.272896739e+08,-1.050370560e+02,
+3.272902174e+08,-1.054699478e+02,
+3.272907609e+08,-1.060479202e+02,
+3.272913043e+08,-1.060510635e+02,
+3.272918478e+08,-1.055948563e+02,
+3.272923913e+08,-1.054436722e+02,
+3.272929348e+08,-1.079421921e+02,
+3.272934783e+08,-1.063330307e+02,
+3.272940217e+08,-9.987999725e+01,
+3.272945652e+08,-1.061187973e+02,
+3.272951087e+08,-1.055040359e+02,
+3.272956522e+08,-1.048043747e+02,
+3.272961957e+08,-1.032412796e+02,
+3.272967391e+08,-1.061018448e+02,
+3.272972826e+08,-1.071636734e+02,
+3.272978261e+08,-1.060873337e+02,
+3.272983696e+08,-1.055064468e+02,
+3.272989130e+08,-1.064437485e+02,
+3.272994565e+08,-1.067097549e+02,
+3.273000000e+08,-1.069422226e+02,
+3.273005435e+08,-1.067434158e+02,
+3.273010870e+08,-1.059981613e+02,
+3.273016304e+08,-1.073319168e+02,
+3.273021739e+08,-1.059508286e+02,
+3.273027174e+08,-1.061651382e+02,
+3.273032609e+08,-1.071222000e+02,
+3.273038043e+08,-1.047118454e+02,
+3.273043478e+08,-1.061458054e+02,
+3.273048913e+08,-1.043582535e+02,
+3.273054348e+08,-1.064088058e+02,
+3.273059783e+08,-1.055608597e+02,
+3.273065217e+08,-1.062500839e+02,
+3.273070652e+08,-1.067117081e+02,
+3.273076087e+08,-1.067444839e+02,
+3.273081522e+08,-1.054587326e+02,
+3.273086957e+08,-1.065338669e+02,
+3.273092391e+08,-1.061018448e+02,
+3.273097826e+08,-1.050755081e+02,
+3.273103261e+08,-1.062054520e+02,
+3.273108696e+08,-1.049740677e+02,
+3.273114130e+08,-1.058766403e+02,
