#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
10:02:11 04.15.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-7.872735596e+01,
+3.171739130e+06,-7.914424896e+01,
+5.343478261e+06,-7.514656067e+01,
+7.515217391e+06,-7.836161804e+01,
+9.686956522e+06,-6.873365021e+01,
+1.185869565e+07,-7.666394806e+01,
+1.403043478e+07,-6.415188599e+01,
+1.620217391e+07,-7.309243774e+01,
+1.837391304e+07,-6.970283508e+01,
+2.054565217e+07,-6.880081940e+01,
+2.271739130e+07,-7.419166565e+01,
+2.488913043e+07,-7.380401611e+01,
+2.706086957e+07,-7.372297668e+01,
+2.923260870e+07,-8.400863647e+01,
+3.140434783e+07,-7.978826904e+01,
+3.357608696e+07,-7.826797485e+01,
+3.574782609e+07,-7.811289978e+01,
+3.791956522e+07,-7.511901855e+01,
+4.009130435e+07,-7.843280029e+01,
+4.226304348e+07,-7.942301941e+01,
+4.443478261e+07,-8.010096741e+01,
+4.660652174e+07,-8.195090485e+01,
+4.877826087e+07,-8.688148499e+01,
+5.095000000e+07,-8.198266602e+01,
+5.312173913e+07,-8.026833344e+01,
+5.529347826e+07,-7.870143127e+01,
+5.746521739e+07,-8.254972839e+01,
+5.963695652e+07,-8.000650024e+01,
+6.180869565e+07,-8.558618164e+01,
+6.398043478e+07,-8.730529022e+01,
+6.615217391e+07,-9.004606628e+01,
+6.832391304e+07,-9.248725891e+01,
+7.049565217e+07,-9.506890869e+01,
+7.266739130e+07,-8.669618225e+01,
+7.483913043e+07,-9.471041107e+01,
+7.701086957e+07,-9.689904785e+01,
+7.918260870e+07,-9.071226501e+01,
+8.135434783e+07,-9.197678375e+01,
+8.352608696e+07,-8.719289398e+01,
+8.569782609e+07,-8.818240356e+01,
+8.786956522e+07,-8.488064575e+01,
+9.004130435e+07,-9.416024780e+01,
+9.221304348e+07,-6.242165375e+01,
+9.438478261e+07,-7.723261261e+01,
+9.655652174e+07,-7.496177673e+01,
+9.872826087e+07,-7.788085938e+01,
+1.009000000e+08,-9.505534363e+01,
+1.030717391e+08,-8.874440002e+01,
+1.052434783e+08,-9.807206726e+01,
+1.074152174e+08,-9.314951324e+01,
+1.095869565e+08,-9.250368500e+01,
+1.117586957e+08,-9.044261169e+01,
+1.139304348e+08,-9.305139160e+01,
+1.161021739e+08,-1.006385269e+02,
+1.182739130e+08,-9.805261230e+01,
+1.204456522e+08,-9.341794586e+01,
+1.226173913e+08,-9.037898254e+01,
+1.247891304e+08,-1.013653641e+02,
+1.269608696e+08,-1.034717026e+02,
+1.291326087e+08,-1.045222168e+02,
+1.313043478e+08,-1.039419861e+02,
+1.334760870e+08,-8.859865570e+01,
+1.356478261e+08,-1.013344803e+02,
+1.378195652e+08,-9.536990356e+01,
+1.399913043e+08,-9.320969391e+01,
+1.421630435e+08,-9.216231537e+01,
+1.443347826e+08,-9.096554565e+01,
+1.465065217e+08,-9.896455383e+01,
+1.486782609e+08,-9.820674133e+01,
