#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
09:08:32 04.15.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-9.512860107e+01,
+3.171739130e+06,-1.033353806e+02,
+5.343478261e+06,-1.048895569e+02,
+7.515217391e+06,-1.048979797e+02,
+9.686956522e+06,-1.044460068e+02,
+1.185869565e+07,-1.073480148e+02,
+1.403043478e+07,-1.068107605e+02,
+1.620217391e+07,-1.077558289e+02,
+1.837391304e+07,-1.073538361e+02,
+2.054565217e+07,-1.077791519e+02,
+2.271739130e+07,-1.062648926e+02,
+2.488913043e+07,-1.067405853e+02,
+2.706086957e+07,-1.073244400e+02,
+2.923260870e+07,-1.074084091e+02,
+3.140434783e+07,-1.061311111e+02,
+3.357608696e+07,-1.076682434e+02,
+3.574782609e+07,-1.052135315e+02,
+3.791956522e+07,-1.068756027e+02,
+4.009130435e+07,-1.071726990e+02,
+4.226304348e+07,-1.074318619e+02,
+4.443478261e+07,-1.076677246e+02,
+4.660652174e+07,-1.077041702e+02,
+4.877826087e+07,-1.073056259e+02,
+5.095000000e+07,-1.071368866e+02,
+5.312173913e+07,-1.071309280e+02,
+5.529347826e+07,-1.068016968e+02,
+5.746521739e+07,-1.069739914e+02,
+5.963695652e+07,-1.070583267e+02,
+6.180869565e+07,-1.071301804e+02,
+6.398043478e+07,-1.056556015e+02,
+6.615217391e+07,-1.078541946e+02,
+6.832391304e+07,-1.060191498e+02,
+7.049565217e+07,-1.069616013e+02,
+7.266739130e+07,-1.070656204e+02,
+7.483913043e+07,-1.065094147e+02,
+7.701086957e+07,-1.068706894e+02,
+7.918260870e+07,-1.063586426e+02,
+8.135434783e+07,-1.067857285e+02,
+8.352608696e+07,-1.060734024e+02,
+8.569782609e+07,-1.070839081e+02,
+8.786956522e+07,-1.071989365e+02,
+9.004130435e+07,-1.060524139e+02,
+9.221304348e+07,-1.071335373e+02,
+9.438478261e+07,-1.067847290e+02,
+9.655652174e+07,-1.070355835e+02,
+9.872826087e+07,-1.057400284e+02,
+1.009000000e+08,-1.065003281e+02,
+1.030717391e+08,-1.071888885e+02,
+1.052434783e+08,-1.069887619e+02,
+1.074152174e+08,-1.073786316e+02,
+1.095869565e+08,-1.057965469e+02,
+1.117586957e+08,-1.070975647e+02,
+1.139304348e+08,-1.068382339e+02,
+1.161021739e+08,-1.068663254e+02,
+1.182739130e+08,-1.063820877e+02,
+1.204456522e+08,-1.070643234e+02,
+1.226173913e+08,-1.060691299e+02,
+1.247891304e+08,-1.059092026e+02,
+1.269608696e+08,-1.064919052e+02,
+1.291326087e+08,-1.061348038e+02,
+1.313043478e+08,-1.062987137e+02,
+1.334760870e+08,-1.050853577e+02,
+1.356478261e+08,-1.054383850e+02,
+1.378195652e+08,-1.059990616e+02,
+1.399913043e+08,-1.050093918e+02,
+1.421630435e+08,-1.054597702e+02,
+1.443347826e+08,-1.063077927e+02,
+1.465065217e+08,-1.063003082e+02,
+1.486782609e+08,-1.062969208e+02,
