#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
01:37:18 04.01.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-8.397084808e+01,
+3.250086957e+08,-9.693555450e+01,
+3.250173913e+08,-9.765454865e+01,
+3.250260870e+08,-9.695886993e+01,
+3.250347826e+08,-9.709264374e+01,
+3.250434783e+08,-9.820586395e+01,
+3.250521739e+08,-9.847551727e+01,
+3.250608696e+08,-9.697992706e+01,
+3.250695652e+08,-9.761642456e+01,
+3.250782609e+08,-9.738381958e+01,
+3.250869565e+08,-9.775006104e+01,
+3.250956522e+08,-9.646717072e+01,
+3.251043478e+08,-9.762268066e+01,
+3.251130435e+08,-9.784181213e+01,
+3.251217391e+08,-9.413517761e+01,
+3.251304348e+08,-9.550956726e+01,
+3.251391304e+08,-9.688477325e+01,
+3.251478261e+08,-9.422988129e+01,
+3.251565217e+08,-9.728685760e+01,
+3.251652174e+08,-9.765785217e+01,
+3.251739130e+08,-9.792417908e+01,
+3.251826087e+08,-9.460734558e+01,
+3.251913043e+08,-9.542203522e+01,
+3.252000000e+08,-9.719361877e+01,
+3.252086957e+08,-9.697217560e+01,
+3.252173913e+08,-9.738790894e+01,
+3.252260870e+08,-9.703425598e+01,
+3.252347826e+08,-9.708250427e+01,
+3.252434783e+08,-9.692874146e+01,
+3.252521739e+08,-9.635288239e+01,
+3.252608696e+08,-9.624701691e+01,
+3.252695652e+08,-9.705527496e+01,
+3.252782609e+08,-9.810910034e+01,
+3.252869565e+08,-9.736270905e+01,
+3.252956522e+08,-9.729473114e+01,
+3.253043478e+08,-9.763632965e+01,
+3.253130435e+08,-9.701197052e+01,
+3.253217391e+08,-9.759826660e+01,
+3.253304348e+08,-9.759871674e+01,
+3.253391304e+08,-9.667188263e+01,
+3.253478261e+08,-9.792762756e+01,
+3.253565217e+08,-9.686087036e+01,
+3.253652174e+08,-9.766629791e+01,
+3.253739130e+08,-9.641056061e+01,
+3.253826087e+08,-9.773430634e+01,
+3.253913043e+08,-9.736745453e+01,
