#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
13:32:14 04.04.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.043091354e+02,
+3.272755435e+08,-1.060799637e+02,
+3.272760870e+08,-1.048712387e+02,
+3.272766304e+08,-1.049547348e+02,
+3.272771739e+08,-1.034249344e+02,
+3.272777174e+08,-1.043225021e+02,
+3.272782609e+08,-1.026811447e+02,
+3.272788043e+08,-1.043280411e+02,
+3.272793478e+08,-1.042028122e+02,
+3.272798913e+08,-1.042690659e+02,
+3.272804348e+08,-1.048915176e+02,
+3.272809783e+08,-1.047728195e+02,
+3.272815217e+08,-1.048501358e+02,
+3.272820652e+08,-1.047227554e+02,
+3.272826087e+08,-1.040183640e+02,
+3.272831522e+08,-1.052567368e+02,
+3.272836957e+08,-1.039027939e+02,
+3.272842391e+08,-1.030312729e+02,
+3.272847826e+08,-1.032742691e+02,
+3.272853261e+08,-1.044674454e+02,
+3.272858696e+08,-1.032990341e+02,
+3.272864130e+08,-1.020901718e+02,
+3.272869565e+08,-1.051242447e+02,
+3.272875000e+08,-1.038762283e+02,
+3.272880435e+08,-1.027130508e+02,
+3.272885870e+08,-1.046240005e+02,
+3.272891304e+08,-1.041217880e+02,
+3.272896739e+08,-1.042325211e+02,
+3.272902174e+08,-1.037197189e+02,
+3.272907609e+08,-1.031093674e+02,
+3.272913043e+08,-1.045565567e+02,
+3.272918478e+08,-1.025667953e+02,
+3.272923913e+08,-1.064335251e+02,
+3.272929348e+08,-1.052579269e+02,
+3.272934783e+08,-1.033067245e+02,
+3.272940217e+08,-1.015036545e+02,
+3.272945652e+08,-1.019175339e+02,
+3.272951087e+08,-1.035179367e+02,
+3.272956522e+08,-1.034356766e+02,
+3.272961957e+08,-1.031139145e+02,
+3.272967391e+08,-1.023337631e+02,
+3.272972826e+08,-1.025084915e+02,
+3.272978261e+08,-1.035447617e+02,
+3.272983696e+08,-1.032349625e+02,
+3.272989130e+08,-1.030248337e+02,
+3.272994565e+08,-1.044242172e+02,
+3.273000000e+08,-1.032886581e+02,
+3.273005435e+08,-1.044166489e+02,
+3.273010870e+08,-1.057517319e+02,
+3.273016304e+08,-1.059908524e+02,
+3.273021739e+08,-1.038344345e+02,
+3.273027174e+08,-1.048617477e+02,
+3.273032609e+08,-1.031021805e+02,
+3.273038043e+08,-1.036040878e+02,
+3.273043478e+08,-1.049860153e+02,
+3.273048913e+08,-1.033191299e+02,
+3.273054348e+08,-1.050513535e+02,
+3.273059783e+08,-1.041432114e+02,
+3.273065217e+08,-1.028241348e+02,
+3.273070652e+08,-1.054516830e+02,
+3.273076087e+08,-1.044879074e+02,
+3.273081522e+08,-1.030761795e+02,
+3.273086957e+08,-1.048067398e+02,
+3.273092391e+08,-1.042984238e+02,
+3.273097826e+08,-1.038957291e+02,
+3.273103261e+08,-1.015582962e+02,
+3.273108696e+08,-1.039434280e+02,
+3.273114130e+08,-1.042087021e+02,
