#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
00:32:20 04.05.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.051614456e+02,
+3.272755435e+08,-1.043398438e+02,
+3.272760870e+08,-1.055759277e+02,
+3.272766304e+08,-1.063609161e+02,
+3.272771739e+08,-1.051945419e+02,
+3.272777174e+08,-1.056646805e+02,
+3.272782609e+08,-1.055334167e+02,
+3.272788043e+08,-1.046394272e+02,
+3.272793478e+08,-1.064112396e+02,
+3.272798913e+08,-1.069999847e+02,
+3.272804348e+08,-1.055642395e+02,
+3.272809783e+08,-1.061178894e+02,
+3.272815217e+08,-1.059139252e+02,
+3.272820652e+08,-1.058729935e+02,
+3.272826087e+08,-1.045418320e+02,
+3.272831522e+08,-1.046460724e+02,
+3.272836957e+08,-1.058270798e+02,
+3.272842391e+08,-1.048874512e+02,
+3.272847826e+08,-1.056858368e+02,
+3.272853261e+08,-1.055721207e+02,
+3.272858696e+08,-1.060150070e+02,
+3.272864130e+08,-1.022881546e+02,
+3.272869565e+08,-1.049769974e+02,
+3.272875000e+08,-1.062274017e+02,
+3.272880435e+08,-1.044543381e+02,
+3.272885870e+08,-1.060332184e+02,
+3.272891304e+08,-1.066173096e+02,
+3.272896739e+08,-1.043184128e+02,
+3.272902174e+08,-1.037920380e+02,
+3.272907609e+08,-1.044428864e+02,
+3.272913043e+08,-1.054460526e+02,
+3.272918478e+08,-1.066054993e+02,
+3.272923913e+08,-1.045364227e+02,
+3.272929348e+08,-1.069361725e+02,
+3.272934783e+08,-1.054899902e+02,
+3.272940217e+08,-1.061192703e+02,
+3.272945652e+08,-1.056125565e+02,
+3.272951087e+08,-1.057156906e+02,
+3.272956522e+08,-1.055338287e+02,
+3.272961957e+08,-1.050967484e+02,
+3.272967391e+08,-1.073080826e+02,
+3.272972826e+08,-1.057954559e+02,
+3.272978261e+08,-1.055100403e+02,
+3.272983696e+08,-1.039187698e+02,
+3.272989130e+08,-1.056971817e+02,
+3.272994565e+08,-1.061869888e+02,
+3.273000000e+08,-1.043304901e+02,
+3.273005435e+08,-1.051371689e+02,
+3.273010870e+08,-1.053093491e+02,
+3.273016304e+08,-1.053396835e+02,
+3.273021739e+08,-1.051007919e+02,
+3.273027174e+08,-1.050354538e+02,
+3.273032609e+08,-1.056956711e+02,
+3.273038043e+08,-1.063707504e+02,
+3.273043478e+08,-1.065817490e+02,
+3.273048913e+08,-1.060517731e+02,
+3.273054348e+08,-1.052121429e+02,
+3.273059783e+08,-1.058340454e+02,
+3.273065217e+08,-1.061540833e+02,
+3.273070652e+08,-1.063806229e+02,
+3.273076087e+08,-1.058582916e+02,
+3.273081522e+08,-1.070121460e+02,
+3.273086957e+08,-1.059651337e+02,
+3.273092391e+08,-1.053232727e+02,
+3.273097826e+08,-1.047954483e+02,
+3.273103261e+08,-1.064850311e+02,
+3.273108696e+08,-1.060892944e+02,
+3.273114130e+08,-1.040140457e+02,
