#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
16:45:31 04.05.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.075529861e+02,
+3.272755435e+08,-1.078823013e+02,
+3.272760870e+08,-1.069627457e+02,
+3.272766304e+08,-1.059887772e+02,
+3.272771739e+08,-1.065193863e+02,
+3.272777174e+08,-1.040847855e+02,
+3.272782609e+08,-1.062056046e+02,
+3.272788043e+08,-1.081767960e+02,
+3.272793478e+08,-1.066007614e+02,
+3.272798913e+08,-1.070544815e+02,
+3.272804348e+08,-1.081380081e+02,
+3.272809783e+08,-1.068388748e+02,
+3.272815217e+08,-1.048167496e+02,
+3.272820652e+08,-1.076309433e+02,
+3.272826087e+08,-1.070334702e+02,
+3.272831522e+08,-1.072140274e+02,
+3.272836957e+08,-1.071360092e+02,
+3.272842391e+08,-1.049136124e+02,
+3.272847826e+08,-1.062686691e+02,
+3.272853261e+08,-1.052190781e+02,
+3.272858696e+08,-1.062624741e+02,
+3.272864130e+08,-1.057073898e+02,
+3.272869565e+08,-1.063193130e+02,
+3.272875000e+08,-1.058846054e+02,
+3.272880435e+08,-1.058675308e+02,
+3.272885870e+08,-1.071017227e+02,
+3.272891304e+08,-1.050631943e+02,
+3.272896739e+08,-1.068232040e+02,
+3.272902174e+08,-1.057544174e+02,
+3.272907609e+08,-1.029352798e+02,
+3.272913043e+08,-1.067305832e+02,
+3.272918478e+08,-1.049236374e+02,
+3.272923913e+08,-1.082608261e+02,
+3.272929348e+08,-1.048469009e+02,
+3.272934783e+08,-1.063062668e+02,
+3.272940217e+08,-1.013740921e+02,
+3.272945652e+08,-1.065266342e+02,
+3.272951087e+08,-1.076003494e+02,
+3.272956522e+08,-1.059216995e+02,
+3.272961957e+08,-1.052343674e+02,
+3.272967391e+08,-1.053752518e+02,
+3.272972826e+08,-1.065768967e+02,
+3.272978261e+08,-1.065150375e+02,
+3.272983696e+08,-1.047549667e+02,
+3.272989130e+08,-1.070220108e+02,
+3.272994565e+08,-1.062460861e+02,
+3.273000000e+08,-1.053553848e+02,
+3.273005435e+08,-1.059164658e+02,
+3.273010870e+08,-1.074006042e+02,
+3.273016304e+08,-1.053440857e+02,
+3.273021739e+08,-1.051410828e+02,
+3.273027174e+08,-1.065579758e+02,
+3.273032609e+08,-1.048838196e+02,
+3.273038043e+08,-1.062503662e+02,
+3.273043478e+08,-1.067891541e+02,
+3.273048913e+08,-1.067435684e+02,
+3.273054348e+08,-1.075573196e+02,
+3.273059783e+08,-1.058502121e+02,
+3.273065217e+08,-1.054220734e+02,
+3.273070652e+08,-1.059891281e+02,
+3.273076087e+08,-1.082822037e+02,
+3.273081522e+08,-1.054782486e+02,
+3.273086957e+08,-1.056690903e+02,
+3.273092391e+08,-1.061639023e+02,
+3.273097826e+08,-1.051735001e+02,
+3.273103261e+08,-1.061983948e+02,
+3.273108696e+08,-1.065602875e+02,
+3.273114130e+08,-1.050731888e+02,
