#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
02:50:37 04.25.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-9.510700989e+01,
+3.250086957e+08,-9.809756470e+01,
+3.250173913e+08,-9.750888062e+01,
+3.250260870e+08,-9.736830139e+01,
+3.250347826e+08,-9.774964905e+01,
+3.250434783e+08,-9.814050293e+01,
+3.250521739e+08,-9.846630859e+01,
+3.250608696e+08,-9.652568817e+01,
+3.250695652e+08,-9.807766724e+01,
+3.250782609e+08,-9.718048859e+01,
+3.250869565e+08,-9.620742798e+01,
+3.250956522e+08,-9.719193268e+01,
+3.251043478e+08,-9.734844208e+01,
+3.251130435e+08,-9.840464783e+01,
+3.251217391e+08,-9.768878174e+01,
+3.251304348e+08,-9.594586945e+01,
+3.251391304e+08,-9.748270416e+01,
+3.251478261e+08,-9.668242645e+01,
+3.251565217e+08,-9.798707581e+01,
+3.251652174e+08,-9.746001434e+01,
+3.251739130e+08,-9.806082916e+01,
+3.251826087e+08,-9.513431549e+01,
+3.251913043e+08,-9.833110809e+01,
+3.252000000e+08,-9.753588867e+01,
+3.252086957e+08,-9.780475616e+01,
+3.252173913e+08,-9.746305084e+01,
+3.252260870e+08,-9.733468628e+01,
+3.252347826e+08,-9.836288452e+01,
+3.252434783e+08,-9.762159729e+01,
+3.252521739e+08,-9.796479797e+01,
+3.252608696e+08,-9.821204376e+01,
+3.252695652e+08,-9.663906860e+01,
+3.252782609e+08,-9.799143219e+01,
+3.252869565e+08,-9.783578491e+01,
+3.252956522e+08,-9.713679504e+01,
+3.253043478e+08,-9.754592896e+01,
+3.253130435e+08,-9.735171509e+01,
+3.253217391e+08,-9.797265625e+01,
+3.253304348e+08,-9.748220062e+01,
+3.253391304e+08,-9.749835968e+01,
+3.253478261e+08,-9.745133972e+01,
+3.253565217e+08,-9.740842438e+01,
+3.253652174e+08,-9.770368195e+01,
+3.253739130e+08,-9.639064789e+01,
+3.253826087e+08,-9.660062408e+01,
+3.253913043e+08,-9.799335480e+01,
