#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
01:14:26 04.30.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.032653427e+02,
+3.272755435e+08,-1.041731796e+02,
+3.272760870e+08,-1.019559708e+02,
+3.272766304e+08,-1.021628799e+02,
+3.272771739e+08,-1.030081406e+02,
+3.272777174e+08,-1.026282425e+02,
+3.272782609e+08,-1.031460037e+02,
+3.272788043e+08,-1.012015610e+02,
+3.272793478e+08,-1.035798874e+02,
+3.272798913e+08,-1.023176804e+02,
+3.272804348e+08,-1.020838699e+02,
+3.272809783e+08,-1.024706192e+02,
+3.272815217e+08,-1.022150345e+02,
+3.272820652e+08,-1.011808090e+02,
+3.272826087e+08,-1.033961563e+02,
+3.272831522e+08,-1.027733231e+02,
+3.272836957e+08,-1.030284042e+02,
+3.272842391e+08,-1.011508865e+02,
+3.272847826e+08,-1.039556656e+02,
+3.272853261e+08,-1.037744522e+02,
+3.272858696e+08,-1.029067612e+02,
+3.272864130e+08,-1.040557938e+02,
+3.272869565e+08,-1.030428238e+02,
+3.272875000e+08,-1.024822617e+02,
+3.272880435e+08,-1.020881500e+02,
+3.272885870e+08,-1.027277679e+02,
+3.272891304e+08,-1.038373413e+02,
+3.272896739e+08,-1.036450500e+02,
+3.272902174e+08,-9.760531616e+01,
+3.272907609e+08,-1.037693253e+02,
+3.272913043e+08,-1.037981339e+02,
+3.272918478e+08,-1.029539337e+02,
+3.272923913e+08,-1.021381836e+02,
+3.272929348e+08,-1.037225952e+02,
+3.272934783e+08,-9.987828064e+01,
+3.272940217e+08,-9.745808411e+01,
+3.272945652e+08,-1.030820160e+02,
+3.272951087e+08,-1.024913177e+02,
+3.272956522e+08,-1.009556198e+02,
+3.272961957e+08,-1.042096710e+02,
+3.272967391e+08,-1.047800217e+02,
+3.272972826e+08,-1.036193390e+02,
+3.272978261e+08,-1.017232285e+02,
+3.272983696e+08,-1.034032593e+02,
+3.272989130e+08,-1.035039520e+02,
+3.272994565e+08,-1.031028748e+02,
+3.273000000e+08,-1.008404083e+02,
+3.273005435e+08,-1.038765411e+02,
+3.273010870e+08,-1.031001358e+02,
+3.273016304e+08,-1.017062225e+02,
+3.273021739e+08,-1.007643585e+02,
+3.273027174e+08,-1.010594025e+02,
+3.273032609e+08,-1.032208023e+02,
+3.273038043e+08,-1.045549850e+02,
+3.273043478e+08,-1.032501221e+02,
+3.273048913e+08,-1.015180817e+02,
+3.273054348e+08,-1.027578430e+02,
+3.273059783e+08,-1.027801666e+02,
+3.273065217e+08,-1.036507111e+02,
+3.273070652e+08,-1.023009262e+02,
+3.273076087e+08,-1.022145157e+02,
+3.273081522e+08,-1.027566376e+02,
+3.273086957e+08,-1.030620117e+02,
+3.273092391e+08,-9.987250519e+01,
+3.273097826e+08,-1.024912796e+02,
+3.273103261e+08,-1.037740784e+02,
+3.273108696e+08,-1.027352371e+02,
+3.273114130e+08,-1.041944656e+02,
