#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
10:44:43 04.12.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-7.754183197e+01,
+3.171739130e+06,-8.405261230e+01,
+5.343478261e+06,-8.030234528e+01,
+7.515217391e+06,-7.729444122e+01,
+9.686956522e+06,-8.173632050e+01,
+1.185869565e+07,-7.589152527e+01,
+1.403043478e+07,-7.902399445e+01,
+1.620217391e+07,-7.102999878e+01,
+1.837391304e+07,-6.944996643e+01,
+2.054565217e+07,-6.517152405e+01,
+2.271739130e+07,-6.870475769e+01,
+2.488913043e+07,-6.977764893e+01,
+2.706086957e+07,-6.818873596e+01,
+2.923260870e+07,-7.762905884e+01,
+3.140434783e+07,-8.047164917e+01,
+3.357608696e+07,-7.947761536e+01,
+3.574782609e+07,-7.768345642e+01,
+3.791956522e+07,-7.936925507e+01,
+4.009130435e+07,-7.646080017e+01,
+4.226304348e+07,-8.089215088e+01,
+4.443478261e+07,-7.869081116e+01,
+4.660652174e+07,-8.215570831e+01,
+4.877826087e+07,-8.725251770e+01,
+5.095000000e+07,-8.383474731e+01,
+5.312173913e+07,-8.080026245e+01,
+5.529347826e+07,-8.061738586e+01,
+5.746521739e+07,-7.983630371e+01,
+5.963695652e+07,-7.828185272e+01,
+6.180869565e+07,-8.244977570e+01,
+6.398043478e+07,-8.968444824e+01,
+6.615217391e+07,-9.221589661e+01,
+6.832391304e+07,-9.172881317e+01,
+7.049565217e+07,-9.563674927e+01,
+7.266739130e+07,-9.508631897e+01,
+7.483913043e+07,-9.775723267e+01,
+7.701086957e+07,-9.194540405e+01,
+7.918260870e+07,-9.507334900e+01,
+8.135434783e+07,-9.041934967e+01,
+8.352608696e+07,-8.162855530e+01,
+8.569782609e+07,-9.133827209e+01,
+8.786956522e+07,-8.558374023e+01,
+9.004130435e+07,-9.006674194e+01,
+9.221304348e+07,-6.528771973e+01,
+9.438478261e+07,-7.249504089e+01,
+9.655652174e+07,-7.242257690e+01,
+9.872826087e+07,-7.467121887e+01,
+1.009000000e+08,-9.433791351e+01,
+1.030717391e+08,-9.331971741e+01,
+1.052434783e+08,-9.262482452e+01,
+1.074152174e+08,-8.996643066e+01,
+1.095869565e+08,-9.041200256e+01,
+1.117586957e+08,-9.698277283e+01,
+1.139304348e+08,-9.852865601e+01,
+1.161021739e+08,-9.908695984e+01,
+1.182739130e+08,-9.826939392e+01,
+1.204456522e+08,-8.809991455e+01,
+1.226173913e+08,-9.461399841e+01,
+1.247891304e+08,-9.952891541e+01,
+1.269608696e+08,-1.040327148e+02,
+1.291326087e+08,-1.031518402e+02,
+1.313043478e+08,-1.047711868e+02,
+1.334760870e+08,-9.163485718e+01,
+1.356478261e+08,-9.685227966e+01,
+1.378195652e+08,-9.998225403e+01,
+1.399913043e+08,-9.838271332e+01,
+1.421630435e+08,-1.001710358e+02,
+1.443347826e+08,-9.485844421e+01,
+1.465065217e+08,-1.006200180e+02,
+1.486782609e+08,-9.510558319e+01,
