#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
00:40:58 04.24.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-8.796546173e+01,
+3.250086957e+08,-9.572843933e+01,
+3.250173913e+08,-9.699237061e+01,
+3.250260870e+08,-9.654246521e+01,
+3.250347826e+08,-9.732519531e+01,
+3.250434783e+08,-9.672644806e+01,
+3.250521739e+08,-9.710198212e+01,
+3.250608696e+08,-9.737722778e+01,
+3.250695652e+08,-9.762734985e+01,
+3.250782609e+08,-9.660061646e+01,
+3.250869565e+08,-9.741203308e+01,
+3.250956522e+08,-9.670079041e+01,
+3.251043478e+08,-9.693063354e+01,
+3.251130435e+08,-9.750289917e+01,
+3.251217391e+08,-9.435505676e+01,
+3.251304348e+08,-9.720925140e+01,
+3.251391304e+08,-9.797171021e+01,
+3.251478261e+08,-9.638916779e+01,
+3.251565217e+08,-9.601284790e+01,
+3.251652174e+08,-9.732141876e+01,
+3.251739130e+08,-9.770124054e+01,
+3.251826087e+08,-9.421500397e+01,
+3.251913043e+08,-9.742795563e+01,
+3.252000000e+08,-9.753501129e+01,
+3.252086957e+08,-9.619003296e+01,
+3.252173913e+08,-9.650363922e+01,
+3.252260870e+08,-9.682884216e+01,
+3.252347826e+08,-9.643612671e+01,
+3.252434783e+08,-9.740412903e+01,
+3.252521739e+08,-9.616044617e+01,
+3.252608696e+08,-9.719778442e+01,
+3.252695652e+08,-9.678202820e+01,
+3.252782609e+08,-9.742216492e+01,
+3.252869565e+08,-9.689067078e+01,
+3.252956522e+08,-9.696028137e+01,
+3.253043478e+08,-9.697246552e+01,
+3.253130435e+08,-9.692172241e+01,
+3.253217391e+08,-9.585742188e+01,
+3.253304348e+08,-9.687281799e+01,
+3.253391304e+08,-9.601589203e+01,
+3.253478261e+08,-9.647743225e+01,
+3.253565217e+08,-9.632199097e+01,
+3.253652174e+08,-9.649398804e+01,
+3.253739130e+08,-9.743250275e+01,
+3.253826087e+08,-9.637609100e+01,
+3.253913043e+08,-9.696748352e+01,
