#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
22:46:50 04.20.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-8.496018982e+01,
+3.250086957e+08,-9.664167786e+01,
+3.250173913e+08,-9.721707153e+01,
+3.250260870e+08,-9.737322998e+01,
+3.250347826e+08,-9.739121246e+01,
+3.250434783e+08,-9.775480652e+01,
+3.250521739e+08,-9.801569366e+01,
+3.250608696e+08,-9.742853546e+01,
+3.250695652e+08,-9.681523132e+01,
+3.250782609e+08,-9.809466553e+01,
+3.250869565e+08,-9.746237183e+01,
+3.250956522e+08,-9.810704803e+01,
+3.251043478e+08,-9.655270386e+01,
+3.251130435e+08,-9.771046448e+01,
+3.251217391e+08,-9.297059631e+01,
+3.251304348e+08,-9.564670563e+01,
+3.251391304e+08,-9.807981110e+01,
+3.251478261e+08,-9.770249939e+01,
+3.251565217e+08,-9.689491272e+01,
+3.251652174e+08,-9.747842407e+01,
+3.251739130e+08,-9.809189606e+01,
+3.251826087e+08,-9.495925140e+01,
+3.251913043e+08,-9.614609528e+01,
+3.252000000e+08,-9.767234039e+01,
+3.252086957e+08,-9.683690643e+01,
+3.252173913e+08,-9.669141388e+01,
+3.252260870e+08,-9.603253937e+01,
+3.252347826e+08,-9.700514984e+01,
+3.252434783e+08,-9.667678833e+01,
+3.252521739e+08,-9.728245544e+01,
+3.252608696e+08,-9.662230682e+01,
+3.252695652e+08,-9.513344574e+01,
+3.252782609e+08,-8.648914337e+01,
+3.252869565e+08,-9.700698090e+01,
+3.252956522e+08,-9.736254883e+01,
+3.253043478e+08,-9.712712860e+01,
+3.253130435e+08,-9.816978455e+01,
+3.253217391e+08,-9.796454620e+01,
+3.253304348e+08,-9.779916382e+01,
+3.253391304e+08,-9.740572357e+01,
+3.253478261e+08,-9.714602661e+01,
+3.253565217e+08,-9.779258728e+01,
+3.253652174e+08,-9.582761383e+01,
+3.253739130e+08,-9.682507324e+01,
+3.253826087e+08,-9.786815643e+01,
+3.253913043e+08,-9.740539551e+01,
