#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
16:38:31 04.22.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-9.036769104e+01,
+3.250086957e+08,-9.620177460e+01,
+3.250173913e+08,-9.729149628e+01,
+3.250260870e+08,-9.783832550e+01,
+3.250347826e+08,-9.778218842e+01,
+3.250434783e+08,-9.733952332e+01,
+3.250521739e+08,-9.742642975e+01,
+3.250608696e+08,-9.717826843e+01,
+3.250695652e+08,-9.762072754e+01,
+3.250782609e+08,-9.698007202e+01,
+3.250869565e+08,-9.748071289e+01,
+3.250956522e+08,-9.784185791e+01,
+3.251043478e+08,-9.691847992e+01,
+3.251130435e+08,-9.763006592e+01,
+3.251217391e+08,-9.747207642e+01,
+3.251304348e+08,-9.700740814e+01,
+3.251391304e+08,-9.765869141e+01,
+3.251478261e+08,-9.803114319e+01,
+3.251565217e+08,-9.734899902e+01,
+3.251652174e+08,-9.810147858e+01,
+3.251739130e+08,-9.732050323e+01,
+3.251826087e+08,-9.619853210e+01,
+3.251913043e+08,-9.729027557e+01,
+3.252000000e+08,-9.770713043e+01,
+3.252086957e+08,-9.826583099e+01,
+3.252173913e+08,-9.758742523e+01,
+3.252260870e+08,-9.706726837e+01,
+3.252347826e+08,-9.721646118e+01,
+3.252434783e+08,-9.729825592e+01,
+3.252521739e+08,-8.519740295e+01,
+3.252608696e+08,-8.750498962e+01,
+3.252695652e+08,-9.778778076e+01,
+3.252782609e+08,-9.751233673e+01,
+3.252869565e+08,-9.681906128e+01,
+3.252956522e+08,-9.730443573e+01,
+3.253043478e+08,-9.703872681e+01,
+3.253130435e+08,-9.733475494e+01,
+3.253217391e+08,-9.772854614e+01,
+3.253304348e+08,-9.742660522e+01,
+3.253391304e+08,-9.807463837e+01,
+3.253478261e+08,-9.721566010e+01,
+3.253565217e+08,-9.711963654e+01,
+3.253652174e+08,-9.787957001e+01,
+3.253739130e+08,-9.723332977e+01,
+3.253826087e+08,-9.785078430e+01,
+3.253913043e+08,-9.587915802e+01,
