#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
04:01:53 04.21.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-8.522279358e+01,
+3.250086957e+08,-9.698210907e+01,
+3.250173913e+08,-9.687988281e+01,
+3.250260870e+08,-9.684437561e+01,
+3.250347826e+08,-9.758185577e+01,
+3.250434783e+08,-9.757796478e+01,
+3.250521739e+08,-9.715497589e+01,
+3.250608696e+08,-9.580427551e+01,
+3.250695652e+08,-9.761769104e+01,
+3.250782609e+08,-9.751239014e+01,
+3.250869565e+08,-9.559460449e+01,
+3.250956522e+08,-9.798937988e+01,
+3.251043478e+08,-9.748811340e+01,
+3.251130435e+08,-9.813435364e+01,
+3.251217391e+08,-9.378852844e+01,
+3.251304348e+08,-9.657901001e+01,
+3.251391304e+08,-9.801976013e+01,
+3.251478261e+08,-9.434256744e+01,
+3.251565217e+08,-9.758554077e+01,
+3.251652174e+08,-9.677300262e+01,
+3.251739130e+08,-9.812169647e+01,
+3.251826087e+08,-9.677323914e+01,
+3.251913043e+08,-9.499958038e+01,
+3.252000000e+08,-9.635642242e+01,
+3.252086957e+08,-9.725354767e+01,
+3.252173913e+08,-9.705332184e+01,
+3.252260870e+08,-9.770969391e+01,
+3.252347826e+08,-9.851580811e+01,
+3.252434783e+08,-9.609173584e+01,
+3.252521739e+08,-9.768082428e+01,
+3.252608696e+08,-9.752066040e+01,
+3.252695652e+08,-9.111064911e+01,
+3.252782609e+08,-9.090364075e+01,
+3.252869565e+08,-9.727909851e+01,
+3.252956522e+08,-9.814005280e+01,
+3.253043478e+08,-9.638389587e+01,
+3.253130435e+08,-9.737858582e+01,
+3.253217391e+08,-9.749151611e+01,
+3.253304348e+08,-9.744920349e+01,
+3.253391304e+08,-9.659872437e+01,
+3.253478261e+08,-9.720405579e+01,
+3.253565217e+08,-9.741632080e+01,
+3.253652174e+08,-9.691841888e+01,
+3.253739130e+08,-9.715662384e+01,
+3.253826087e+08,-9.772187805e+01,
+3.253913043e+08,-9.791429138e+01,
