#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
00:05:38 05.01.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-9.884689331e+01,
+3.272755435e+08,-9.936065674e+01,
+3.272760870e+08,-1.005453110e+02,
+3.272766304e+08,-9.907824707e+01,
+3.272771739e+08,-9.951550293e+01,
+3.272777174e+08,-9.773904419e+01,
+3.272782609e+08,-1.006792221e+02,
+3.272788043e+08,-1.000390244e+02,
+3.272793478e+08,-9.947132111e+01,
+3.272798913e+08,-1.006711884e+02,
+3.272804348e+08,-9.788325500e+01,
+3.272809783e+08,-9.858035278e+01,
+3.272815217e+08,-9.985305786e+01,
+3.272820652e+08,-9.718454742e+01,
+3.272826087e+08,-9.930559540e+01,
+3.272831522e+08,-9.903105164e+01,
+3.272836957e+08,-9.873828888e+01,
+3.272842391e+08,-9.979135895e+01,
+3.272847826e+08,-9.948487854e+01,
+3.272853261e+08,-9.933771515e+01,
+3.272858696e+08,-9.965091705e+01,
+3.272864130e+08,-1.010810165e+02,
+3.272869565e+08,-1.011019669e+02,
+3.272875000e+08,-9.838520813e+01,
+3.272880435e+08,-1.002332764e+02,
+3.272885870e+08,-1.001150436e+02,
+3.272891304e+08,-9.734278870e+01,
+3.272896739e+08,-1.017303543e+02,
+3.272902174e+08,-9.987473297e+01,
+3.272907609e+08,-1.008694763e+02,
+3.272913043e+08,-1.002459412e+02,
+3.272918478e+08,-9.954190826e+01,
+3.272923913e+08,-9.650670624e+01,
+3.272929348e+08,-9.769490814e+01,
+3.272934783e+08,-9.903679657e+01,
+3.272940217e+08,-1.006669846e+02,
+3.272945652e+08,-1.008107300e+02,
+3.272951087e+08,-9.941968536e+01,
+3.272956522e+08,-9.969890594e+01,
+3.272961957e+08,-9.814767456e+01,
+3.272967391e+08,-9.918088531e+01,
+3.272972826e+08,-1.014978027e+02,
+3.272978261e+08,-1.002347412e+02,
+3.272983696e+08,-1.006631012e+02,
+3.272989130e+08,-1.005053253e+02,
+3.272994565e+08,-9.996561432e+01,
+3.273000000e+08,-1.009702072e+02,
+3.273005435e+08,-1.003304672e+02,
+3.273010870e+08,-9.374392700e+01,
+3.273016304e+08,-9.378214264e+01,
+3.273021739e+08,-1.021178436e+02,
+3.273027174e+08,-1.007780380e+02,
+3.273032609e+08,-9.937445831e+01,
+3.273038043e+08,-1.001713486e+02,
+3.273043478e+08,-9.959053040e+01,
+3.273048913e+08,-1.001950760e+02,
+3.273054348e+08,-9.987169647e+01,
+3.273059783e+08,-1.018658829e+02,
+3.273065217e+08,-1.007319946e+02,
+3.273070652e+08,-1.008260727e+02,
+3.273076087e+08,-1.007776260e+02,
+3.273081522e+08,-1.015311432e+02,
+3.273086957e+08,-1.024525604e+02,
+3.273092391e+08,-1.015292740e+02,
+3.273097826e+08,-1.008264694e+02,
+3.273103261e+08,-1.008821945e+02,
+3.273108696e+08,-1.016522293e+02,
+3.273114130e+08,-1.021649323e+02,
