#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
09:44:16 04.29.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.014502945e+02,
+3.272755435e+08,-1.005894775e+02,
+3.272760870e+08,-1.015919800e+02,
+3.272766304e+08,-1.010108032e+02,
+3.272771739e+08,-1.013389587e+02,
+3.272777174e+08,-1.022197342e+02,
+3.272782609e+08,-1.016356125e+02,
+3.272788043e+08,-1.019166489e+02,
+3.272793478e+08,-1.018027115e+02,
+3.272798913e+08,-1.009664688e+02,
+3.272804348e+08,-1.010699692e+02,
+3.272809783e+08,-1.010422287e+02,
+3.272815217e+08,-1.019500351e+02,
+3.272820652e+08,-1.018785706e+02,
+3.272826087e+08,-9.991165161e+01,
+3.272831522e+08,-1.024085846e+02,
+3.272836957e+08,-1.024049606e+02,
+3.272842391e+08,-1.011250916e+02,
+3.272847826e+08,-1.012798233e+02,
+3.272853261e+08,-1.019600372e+02,
+3.272858696e+08,-1.022851257e+02,
+3.272864130e+08,-1.003594131e+02,
+3.272869565e+08,-1.004515686e+02,
+3.272875000e+08,-9.723534393e+01,
+3.272880435e+08,-1.016045685e+02,
+3.272885870e+08,-1.013200455e+02,
+3.272891304e+08,-1.026561813e+02,
+3.272896739e+08,-1.017193756e+02,
+3.272902174e+08,-1.022258682e+02,
+3.272907609e+08,-1.003177719e+02,
+3.272913043e+08,-9.972756195e+01,
+3.272918478e+08,-1.004453049e+02,
+3.272923913e+08,-1.003677826e+02,
+3.272929348e+08,-1.002815552e+02,
+3.272934783e+08,-1.025593643e+02,
+3.272940217e+08,-1.026812363e+02,
+3.272945652e+08,-1.002458191e+02,
+3.272951087e+08,-1.017067184e+02,
+3.272956522e+08,-1.002436676e+02,
+3.272961957e+08,-1.009609299e+02,
+3.272967391e+08,-1.006171951e+02,
+3.272972826e+08,-1.015023575e+02,
+3.272978261e+08,-1.015232086e+02,
+3.272983696e+08,-1.021935654e+02,
+3.272989130e+08,-1.026810684e+02,
+3.272994565e+08,-1.024963989e+02,
+3.273000000e+08,-1.022217331e+02,
+3.273005435e+08,-1.003920975e+02,
+3.273010870e+08,-1.018172302e+02,
+3.273016304e+08,-1.010216675e+02,
+3.273021739e+08,-1.011885376e+02,
+3.273027174e+08,-1.023579330e+02,
+3.273032609e+08,-9.966066742e+01,
+3.273038043e+08,-1.018587570e+02,
+3.273043478e+08,-1.021657486e+02,
+3.273048913e+08,-1.001905899e+02,
+3.273054348e+08,-1.018988495e+02,
+3.273059783e+08,-9.939340973e+01,
+3.273065217e+08,-1.020902176e+02,
+3.273070652e+08,-9.972027588e+01,
+3.273076087e+08,-1.023831329e+02,
+3.273081522e+08,-9.966787720e+01,
+3.273086957e+08,-1.003876648e+02,
+3.273092391e+08,-1.011188431e+02,
+3.273097826e+08,-1.025139771e+02,
+3.273103261e+08,-1.015916977e+02,
+3.273108696e+08,-9.934026337e+01,
+3.273114130e+08,-1.023703766e+02,
