#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
03:44:27 04.30.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.016768188e+02,
+3.272755435e+08,-1.044781189e+02,
+3.272760870e+08,-1.029153900e+02,
+3.272766304e+08,-1.027570648e+02,
+3.272771739e+08,-1.038753967e+02,
+3.272777174e+08,-1.031327057e+02,
+3.272782609e+08,-1.032603149e+02,
+3.272788043e+08,-1.031279755e+02,
+3.272793478e+08,-1.035933380e+02,
+3.272798913e+08,-1.029485931e+02,
+3.272804348e+08,-1.012548981e+02,
+3.272809783e+08,-1.013195038e+02,
+3.272815217e+08,-1.042417908e+02,
+3.272820652e+08,-1.036536560e+02,
+3.272826087e+08,-1.036677856e+02,
+3.272831522e+08,-1.032881165e+02,
+3.272836957e+08,-1.021549683e+02,
+3.272842391e+08,-1.033038788e+02,
+3.272847826e+08,-1.037777710e+02,
+3.272853261e+08,-1.039731903e+02,
+3.272858696e+08,-1.033840790e+02,
+3.272864130e+08,-1.020632172e+02,
+3.272869565e+08,-1.004895477e+02,
+3.272875000e+08,-1.025515747e+02,
+3.272880435e+08,-1.019164276e+02,
+3.272885870e+08,-1.032812347e+02,
+3.272891304e+08,-1.016757813e+02,
+3.272896739e+08,-1.025393066e+02,
+3.272902174e+08,-1.043394012e+02,
+3.272907609e+08,-1.031986389e+02,
+3.272913043e+08,-1.016703491e+02,
+3.272918478e+08,-1.032687073e+02,
+3.272923913e+08,-1.042337952e+02,
+3.272929348e+08,-1.025594788e+02,
+3.272934783e+08,-1.030221558e+02,
+3.272940217e+08,-9.820768738e+01,
+3.272945652e+08,-1.022845764e+02,
+3.272951087e+08,-1.034209747e+02,
+3.272956522e+08,-1.034433289e+02,
+3.272961957e+08,-1.047630768e+02,
+3.272967391e+08,-1.030306702e+02,
+3.272972826e+08,-1.036611786e+02,
+3.272978261e+08,-1.016663208e+02,
+3.272983696e+08,-1.019541473e+02,
+3.272989130e+08,-1.052968292e+02,
+3.272994565e+08,-1.032029724e+02,
+3.273000000e+08,-1.036906891e+02,
+3.273005435e+08,-1.029524841e+02,
+3.273010870e+08,-1.026187744e+02,
+3.273016304e+08,-1.012331390e+02,
+3.273021739e+08,-1.031204834e+02,
+3.273027174e+08,-1.022188110e+02,
+3.273032609e+08,-1.028543854e+02,
+3.273038043e+08,-1.039970856e+02,
+3.273043478e+08,-1.011554413e+02,
+3.273048913e+08,-1.028348541e+02,
+3.273054348e+08,-1.023859100e+02,
+3.273059783e+08,-1.015253906e+02,
+3.273065217e+08,-1.030269928e+02,
+3.273070652e+08,-1.019697266e+02,
+3.273076087e+08,-1.022937775e+02,
+3.273081522e+08,-1.034383850e+02,
+3.273086957e+08,-1.026845245e+02,
+3.273092391e+08,-1.036250763e+02,
+3.273097826e+08,-1.018819427e+02,
+3.273103261e+08,-1.016373749e+02,
+3.273108696e+08,-1.010760193e+02,
+3.273114130e+08,-1.037878876e+02,
