#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
19:27:25 04.17.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-7.746445465e+01,
+3.171739130e+06,-8.100552368e+01,
+5.343478261e+06,-7.291101074e+01,
+7.515217391e+06,-7.084888458e+01,
+9.686956522e+06,-6.918702698e+01,
+1.185869565e+07,-7.187118530e+01,
+1.403043478e+07,-7.999906921e+01,
+1.620217391e+07,-7.408305359e+01,
+1.837391304e+07,-6.919654846e+01,
+2.054565217e+07,-6.316991043e+01,
+2.271739130e+07,-7.422541809e+01,
+2.488913043e+07,-7.855104065e+01,
+2.706086957e+07,-7.490129852e+01,
+2.923260870e+07,-8.208985138e+01,
+3.140434783e+07,-8.082193756e+01,
+3.357608696e+07,-8.630496216e+01,
+3.574782609e+07,-8.804670715e+01,
+3.791956522e+07,-8.592688751e+01,
+4.009130435e+07,-8.044628906e+01,
+4.226304348e+07,-8.380038452e+01,
+4.443478261e+07,-8.733655548e+01,
+4.660652174e+07,-9.144976807e+01,
+4.877826087e+07,-8.899863434e+01,
+5.095000000e+07,-7.750083160e+01,
+5.312173913e+07,-8.372335815e+01,
+5.529347826e+07,-7.732641602e+01,
+5.746521739e+07,-7.827096558e+01,
+5.963695652e+07,-7.695445251e+01,
+6.180869565e+07,-8.252000427e+01,
+6.398043478e+07,-8.724259949e+01,
+6.615217391e+07,-8.819075775e+01,
+6.832391304e+07,-8.996364594e+01,
+7.049565217e+07,-8.999726868e+01,
+7.266739130e+07,-8.803966522e+01,
+7.483913043e+07,-8.724931335e+01,
+7.701086957e+07,-9.295841980e+01,
+7.918260870e+07,-9.210024261e+01,
+8.135434783e+07,-9.436699677e+01,
+8.352608696e+07,-8.319838715e+01,
+8.569782609e+07,-9.054412842e+01,
+8.786956522e+07,-8.695216370e+01,
+9.004130435e+07,-9.554611969e+01,
+9.221304348e+07,-6.869445801e+01,
+9.438478261e+07,-7.287580872e+01,
+9.655652174e+07,-7.387998962e+01,
+9.872826087e+07,-7.370343018e+01,
+1.009000000e+08,-9.872460938e+01,
+1.030717391e+08,-9.493725586e+01,
+1.052434783e+08,-9.920618439e+01,
+1.074152174e+08,-9.924472809e+01,
+1.095869565e+08,-9.968266296e+01,
+1.117586957e+08,-9.646792603e+01,
+1.139304348e+08,-9.965287781e+01,
+1.161021739e+08,-1.017001038e+02,
+1.182739130e+08,-1.041306000e+02,
+1.204456522e+08,-9.027610016e+01,
+1.226173913e+08,-1.036241379e+02,
+1.247891304e+08,-1.040125198e+02,
+1.269608696e+08,-1.048884201e+02,
+1.291326087e+08,-1.049006653e+02,
+1.313043478e+08,-1.038091660e+02,
+1.334760870e+08,-9.765217590e+01,
+1.356478261e+08,-1.031319122e+02,
+1.378195652e+08,-1.011198349e+02,
+1.399913043e+08,-9.926821136e+01,
+1.421630435e+08,-1.007574081e+02,
+1.443347826e+08,-9.602835083e+01,
+1.465065217e+08,-1.024377975e+02,
+1.486782609e+08,-9.596937561e+01,
