#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
00:30:36 04.06.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.054069214e+02,
+3.272755435e+08,-1.049118500e+02,
+3.272760870e+08,-1.056252289e+02,
+3.272766304e+08,-1.034553070e+02,
+3.272771739e+08,-1.044939728e+02,
+3.272777174e+08,-1.058424683e+02,
+3.272782609e+08,-1.042629929e+02,
+3.272788043e+08,-1.042990952e+02,
+3.272793478e+08,-1.061360168e+02,
+3.272798913e+08,-1.066657562e+02,
+3.272804348e+08,-1.059124603e+02,
+3.272809783e+08,-1.056220322e+02,
+3.272815217e+08,-1.065895233e+02,
+3.272820652e+08,-1.063072510e+02,
+3.272826087e+08,-1.051751404e+02,
+3.272831522e+08,-1.050659103e+02,
+3.272836957e+08,-1.053554840e+02,
+3.272842391e+08,-1.042855606e+02,
+3.272847826e+08,-1.057822800e+02,
+3.272853261e+08,-1.055077133e+02,
+3.272858696e+08,-1.057238312e+02,
+3.272864130e+08,-1.064294205e+02,
+3.272869565e+08,-1.043409119e+02,
+3.272875000e+08,-1.066238937e+02,
+3.272880435e+08,-1.046025543e+02,
+3.272885870e+08,-1.062982941e+02,
+3.272891304e+08,-1.049600067e+02,
+3.272896739e+08,-1.049219971e+02,
+3.272902174e+08,-1.055997086e+02,
+3.272907609e+08,-1.047533264e+02,
+3.272913043e+08,-1.048393326e+02,
+3.272918478e+08,-1.060483170e+02,
+3.272923913e+08,-1.053155289e+02,
+3.272929348e+08,-1.055723419e+02,
+3.272934783e+08,-1.045500031e+02,
+3.272940217e+08,-1.035009766e+02,
+3.272945652e+08,-1.056075439e+02,
+3.272951087e+08,-1.047742157e+02,
+3.272956522e+08,-1.060325928e+02,
+3.272961957e+08,-1.066268311e+02,
+3.272967391e+08,-1.056502457e+02,
+3.272972826e+08,-1.067350616e+02,
+3.272978261e+08,-1.059042511e+02,
+3.272983696e+08,-1.065011673e+02,
+3.272989130e+08,-1.050150528e+02,
+3.272994565e+08,-1.060272675e+02,
+3.273000000e+08,-1.060583038e+02,
+3.273005435e+08,-1.050336761e+02,
+3.273010870e+08,-1.069424973e+02,
+3.273016304e+08,-1.057456436e+02,
+3.273021739e+08,-1.057026596e+02,
+3.273027174e+08,-1.058510132e+02,
+3.273032609e+08,-1.033151627e+02,
+3.273038043e+08,-1.043769302e+02,
+3.273043478e+08,-1.059759674e+02,
+3.273048913e+08,-1.051843109e+02,
+3.273054348e+08,-1.048382874e+02,
+3.273059783e+08,-1.050930710e+02,
+3.273065217e+08,-1.025147400e+02,
+3.273070652e+08,-1.049085388e+02,
+3.273076087e+08,-1.062921829e+02,
+3.273081522e+08,-1.041062546e+02,
+3.273086957e+08,-1.042715454e+02,
+3.273092391e+08,-1.067332077e+02,
+3.273097826e+08,-1.048524399e+02,
+3.273103261e+08,-1.057355499e+02,
+3.273108696e+08,-1.058298035e+02,
+3.273114130e+08,-1.056523361e+02,
