#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
02:31:14 04.07.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.045563126e+02,
+3.272755435e+08,-1.052734756e+02,
+3.272760870e+08,-1.052177887e+02,
+3.272766304e+08,-1.062398911e+02,
+3.272771739e+08,-1.058444290e+02,
+3.272777174e+08,-1.060032578e+02,
+3.272782609e+08,-1.067559738e+02,
+3.272788043e+08,-1.058229523e+02,
+3.272793478e+08,-1.054747009e+02,
+3.272798913e+08,-1.058082962e+02,
+3.272804348e+08,-1.055326385e+02,
+3.272809783e+08,-1.046089249e+02,
+3.272815217e+08,-1.040864563e+02,
+3.272820652e+08,-1.051783371e+02,
+3.272826087e+08,-1.051706772e+02,
+3.272831522e+08,-1.065292435e+02,
+3.272836957e+08,-1.045643997e+02,
+3.272842391e+08,-1.050459900e+02,
+3.272847826e+08,-1.045440292e+02,
+3.272853261e+08,-1.058207169e+02,
+3.272858696e+08,-1.053494339e+02,
+3.272864130e+08,-1.029835205e+02,
+3.272869565e+08,-1.045697861e+02,
+3.272875000e+08,-1.058107834e+02,
+3.272880435e+08,-1.052597656e+02,
+3.272885870e+08,-1.035198441e+02,
+3.272891304e+08,-1.063748627e+02,
+3.272896739e+08,-1.045437317e+02,
+3.272902174e+08,-1.063659058e+02,
+3.272907609e+08,-1.044311829e+02,
+3.272913043e+08,-1.045840607e+02,
+3.272918478e+08,-1.039801254e+02,
+3.272923913e+08,-9.869341278e+01,
+3.272929348e+08,-1.053259964e+02,
+3.272934783e+08,-1.047189560e+02,
+3.272940217e+08,-1.046552963e+02,
+3.272945652e+08,-1.047263336e+02,
+3.272951087e+08,-1.049322052e+02,
+3.272956522e+08,-1.049157715e+02,
+3.272961957e+08,-1.044525909e+02,
+3.272967391e+08,-1.047890701e+02,
+3.272972826e+08,-1.029764404e+02,
+3.272978261e+08,-1.061501999e+02,
+3.272983696e+08,-1.069620056e+02,
+3.272989130e+08,-1.048435974e+02,
+3.272994565e+08,-1.044038010e+02,
+3.273000000e+08,-1.057579346e+02,
+3.273005435e+08,-1.050725174e+02,
+3.273010870e+08,-1.060659027e+02,
+3.273016304e+08,-1.047450485e+02,
+3.273021739e+08,-1.060562439e+02,
+3.273027174e+08,-1.047297211e+02,
+3.273032609e+08,-1.058551788e+02,
+3.273038043e+08,-1.059631195e+02,
+3.273043478e+08,-1.044830551e+02,
+3.273048913e+08,-1.055823822e+02,
+3.273054348e+08,-1.054230423e+02,
+3.273059783e+08,-1.041001587e+02,
+3.273065217e+08,-1.054529877e+02,
+3.273070652e+08,-1.065726776e+02,
+3.273076087e+08,-1.057780762e+02,
+3.273081522e+08,-1.052271042e+02,
+3.273086957e+08,-1.057390976e+02,
+3.273092391e+08,-1.039314041e+02,
+3.273097826e+08,-1.051983643e+02,
+3.273103261e+08,-1.057542725e+02,
+3.273108696e+08,-1.047690887e+02,
+3.273114130e+08,-1.058449326e+02,
