#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
14:06:01 04.14.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-7.694439697e+01,
+3.171739130e+06,-7.270920563e+01,
+5.343478261e+06,-8.211443329e+01,
+7.515217391e+06,-8.022636414e+01,
+9.686956522e+06,-7.278728485e+01,
+1.185869565e+07,-7.639365387e+01,
+1.403043478e+07,-7.488340759e+01,
+1.620217391e+07,-6.514650726e+01,
+1.837391304e+07,-6.872719574e+01,
+2.054565217e+07,-6.970800018e+01,
+2.271739130e+07,-6.916959381e+01,
+2.488913043e+07,-7.140953064e+01,
+2.706086957e+07,-7.042948914e+01,
+2.923260870e+07,-7.927536011e+01,
+3.140434783e+07,-7.717572784e+01,
+3.357608696e+07,-8.035300446e+01,
+3.574782609e+07,-8.121700287e+01,
+3.791956522e+07,-8.283374786e+01,
+4.009130435e+07,-7.757026672e+01,
+4.226304348e+07,-7.919464874e+01,
+4.443478261e+07,-7.930934143e+01,
+4.660652174e+07,-8.588531494e+01,
+4.877826087e+07,-8.965162659e+01,
+5.095000000e+07,-8.377845001e+01,
+5.312173913e+07,-7.452990723e+01,
+5.529347826e+07,-7.839756775e+01,
+5.746521739e+07,-7.910929871e+01,
+5.963695652e+07,-7.559416199e+01,
+6.180869565e+07,-8.468022919e+01,
+6.398043478e+07,-8.696320343e+01,
+6.615217391e+07,-8.758007050e+01,
+6.832391304e+07,-9.237873077e+01,
+7.049565217e+07,-9.650986481e+01,
+7.266739130e+07,-8.743758392e+01,
+7.483913043e+07,-9.899997711e+01,
+7.701086957e+07,-9.524025726e+01,
+7.918260870e+07,-8.770182800e+01,
+8.135434783e+07,-9.578346252e+01,
+8.352608696e+07,-8.758876038e+01,
+8.569782609e+07,-9.547525787e+01,
+8.786956522e+07,-9.630042267e+01,
+9.004130435e+07,-9.892119598e+01,
+9.221304348e+07,-6.614534760e+01,
+9.438478261e+07,-6.955673218e+01,
+9.655652174e+07,-6.994443512e+01,
+9.872826087e+07,-7.384902191e+01,
+1.009000000e+08,-9.559106445e+01,
+1.030717391e+08,-8.302657318e+01,
+1.052434783e+08,-9.458652496e+01,
+1.074152174e+08,-9.525514221e+01,
+1.095869565e+08,-9.411506653e+01,
+1.117586957e+08,-9.610075378e+01,
+1.139304348e+08,-1.009617386e+02,
+1.161021739e+08,-1.026114731e+02,
+1.182739130e+08,-9.632733917e+01,
+1.204456522e+08,-9.147763824e+01,
+1.226173913e+08,-9.137677765e+01,
+1.247891304e+08,-9.613928986e+01,
+1.269608696e+08,-1.032488937e+02,
+1.291326087e+08,-9.901465607e+01,
+1.313043478e+08,-1.026219940e+02,
+1.334760870e+08,-9.213343048e+01,
+1.356478261e+08,-9.655017853e+01,
+1.378195652e+08,-9.276486206e+01,
+1.399913043e+08,-8.829755402e+01,
+1.421630435e+08,-9.658399963e+01,
+1.443347826e+08,-9.338865662e+01,
+1.465065217e+08,-9.873227692e+01,
+1.486782609e+08,-9.870395660e+01,
