#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
21:37:17 04.01.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-8.095961761e+01,
+3.250086957e+08,-9.500763702e+01,
+3.250173913e+08,-9.656318665e+01,
+3.250260870e+08,-9.532033539e+01,
+3.250347826e+08,-9.625005341e+01,
+3.250434783e+08,-9.551177979e+01,
+3.250521739e+08,-9.662500000e+01,
+3.250608696e+08,-9.111240387e+01,
+3.250695652e+08,-9.609485626e+01,
+3.250782609e+08,-9.624011993e+01,
+3.250869565e+08,-9.605084991e+01,
+3.250956522e+08,-9.625630951e+01,
+3.251043478e+08,-9.714975739e+01,
+3.251130435e+08,-9.553900146e+01,
+3.251217391e+08,-8.799151611e+01,
+3.251304348e+08,-9.444217682e+01,
+3.251391304e+08,-9.630200195e+01,
+3.251478261e+08,-9.611162567e+01,
+3.251565217e+08,-9.507695007e+01,
+3.251652174e+08,-9.476942444e+01,
+3.251739130e+08,-9.652732849e+01,
+3.251826087e+08,-8.989477539e+01,
+3.251913043e+08,-9.501335144e+01,
+3.252000000e+08,-9.644760132e+01,
+3.252086957e+08,-9.570056152e+01,
+3.252173913e+08,-9.631391907e+01,
+3.252260870e+08,-9.557992554e+01,
+3.252347826e+08,-9.310426331e+01,
+3.252434783e+08,-9.439026642e+01,
+3.252521739e+08,-9.556528473e+01,
+3.252608696e+08,-9.548855591e+01,
+3.252695652e+08,-9.214463043e+01,
+3.252782609e+08,-9.228745270e+01,
+3.252869565e+08,-9.538134003e+01,
+3.252956522e+08,-9.572487640e+01,
+3.253043478e+08,-9.509146118e+01,
+3.253130435e+08,-9.496916199e+01,
+3.253217391e+08,-9.536314392e+01,
+3.253304348e+08,-9.537497711e+01,
+3.253391304e+08,-9.451873016e+01,
+3.253478261e+08,-9.583101654e+01,
+3.253565217e+08,-9.583824921e+01,
+3.253652174e+08,-9.499119568e+01,
+3.253739130e+08,-9.450788116e+01,
+3.253826087e+08,-9.538854218e+01,
+3.253913043e+08,-9.506352234e+01,
