#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
18:31:11 04.26.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-8.661938477e+01,
+3.250086957e+08,-9.333627319e+01,
+3.250173913e+08,-8.723166656e+01,
+3.250260870e+08,-9.459774780e+01,
+3.250347826e+08,-9.426530457e+01,
+3.250434783e+08,-9.390937805e+01,
+3.250521739e+08,-9.485343933e+01,
+3.250608696e+08,-9.284310913e+01,
+3.250695652e+08,-9.450638580e+01,
+3.250782609e+08,-9.548567200e+01,
+3.250869565e+08,-8.508888245e+01,
+3.250956522e+08,-9.398184204e+01,
+3.251043478e+08,-9.433454895e+01,
+3.251130435e+08,-9.469608307e+01,
+3.251217391e+08,-8.154850006e+01,
+3.251304348e+08,-9.183125305e+01,
+3.251391304e+08,-9.480728912e+01,
+3.251478261e+08,-8.843783569e+01,
+3.251565217e+08,-9.275423431e+01,
+3.251652174e+08,-9.325115967e+01,
+3.251739130e+08,-9.263200378e+01,
+3.251826087e+08,-8.353418732e+01,
+3.251913043e+08,-9.200717163e+01,
+3.252000000e+08,-9.221650696e+01,
+3.252086957e+08,-8.649015045e+01,
+3.252173913e+08,-9.129359436e+01,
+3.252260870e+08,-9.137667847e+01,
+3.252347826e+08,-9.021630859e+01,
+3.252434783e+08,-8.510121918e+01,
+3.252521739e+08,-8.966423798e+01,
+3.252608696e+08,-8.966664886e+01,
+3.252695652e+08,-9.050630951e+01,
+3.252782609e+08,-8.836415863e+01,
+3.252869565e+08,-9.071559143e+01,
+3.252956522e+08,-9.122769165e+01,
+3.253043478e+08,-9.195058441e+01,
+3.253130435e+08,-9.222312164e+01,
+3.253217391e+08,-9.237213898e+01,
+3.253304348e+08,-9.315824890e+01,
+3.253391304e+08,-8.671015167e+01,
+3.253478261e+08,-9.256944275e+01,
+3.253565217e+08,-9.432418823e+01,
+3.253652174e+08,-7.920998383e+01,
+3.253739130e+08,-9.321873474e+01,
+3.253826087e+08,-9.361944580e+01,
+3.253913043e+08,-9.411687469e+01,
