#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
03:16:05 04.19.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-8.062715912e+01,
+3.171739130e+06,-8.384695435e+01,
+5.343478261e+06,-8.940654755e+01,
+7.515217391e+06,-7.965130615e+01,
+9.686956522e+06,-8.056692505e+01,
+1.185869565e+07,-7.718749237e+01,
+1.403043478e+07,-7.807561493e+01,
+1.620217391e+07,-7.776125336e+01,
+1.837391304e+07,-6.774465179e+01,
+2.054565217e+07,-6.601082611e+01,
+2.271739130e+07,-7.716516876e+01,
+2.488913043e+07,-7.767661285e+01,
+2.706086957e+07,-7.292083740e+01,
+2.923260870e+07,-7.504479980e+01,
+3.140434783e+07,-8.163040161e+01,
+3.357608696e+07,-8.122194672e+01,
+3.574782609e+07,-7.783325958e+01,
+3.791956522e+07,-7.739253998e+01,
+4.009130435e+07,-7.557096100e+01,
+4.226304348e+07,-7.923324585e+01,
+4.443478261e+07,-8.025744629e+01,
+4.660652174e+07,-8.261790466e+01,
+4.877826087e+07,-8.362673950e+01,
+5.095000000e+07,-8.364449310e+01,
+5.312173913e+07,-8.094738007e+01,
+5.529347826e+07,-7.952816772e+01,
+5.746521739e+07,-8.296437836e+01,
+5.963695652e+07,-7.901728058e+01,
+6.180869565e+07,-8.457153320e+01,
+6.398043478e+07,-8.678538513e+01,
+6.615217391e+07,-9.394152832e+01,
+6.832391304e+07,-9.437139130e+01,
+7.049565217e+07,-9.658873749e+01,
+7.266739130e+07,-8.446356201e+01,
+7.483913043e+07,-9.360251617e+01,
+7.701086957e+07,-9.453689575e+01,
+7.918260870e+07,-9.808084869e+01,
+8.135434783e+07,-9.253109741e+01,
+8.352608696e+07,-8.488999939e+01,
+8.569782609e+07,-9.041106415e+01,
+8.786956522e+07,-8.667078400e+01,
+9.004130435e+07,-9.044062042e+01,
+9.221304348e+07,-6.884897614e+01,
+9.438478261e+07,-6.585345459e+01,
+9.655652174e+07,-6.747141266e+01,
+9.872826087e+07,-7.910267639e+01,
+1.009000000e+08,-9.211597443e+01,
+1.030717391e+08,-9.382442474e+01,
+1.052434783e+08,-1.006314850e+02,
+1.074152174e+08,-9.317337036e+01,
+1.095869565e+08,-9.622425842e+01,
+1.117586957e+08,-9.489859009e+01,
+1.139304348e+08,-9.799460602e+01,
+1.161021739e+08,-1.037980881e+02,
+1.182739130e+08,-1.014939880e+02,
+1.204456522e+08,-9.372698212e+01,
+1.226173913e+08,-1.018044281e+02,
+1.247891304e+08,-9.672690582e+01,
+1.269608696e+08,-1.035401077e+02,
+1.291326087e+08,-1.002427139e+02,
+1.313043478e+08,-9.970796204e+01,
+1.334760870e+08,-9.382350159e+01,
+1.356478261e+08,-9.924492645e+01,
+1.378195652e+08,-9.834569550e+01,
+1.399913043e+08,-9.068264008e+01,
+1.421630435e+08,-9.761754608e+01,
+1.443347826e+08,-9.336581421e+01,
+1.465065217e+08,-9.939663696e+01,
+1.486782609e+08,-9.998089600e+01,
