#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
12:46:08 04.26.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),11.825332,AUTO
Start Frequency,+3.250000000e+08
Stop Frequency,+3.290000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+8.000000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.250000000e+08,-8.777397919e+01,
+3.250086957e+08,-9.214690399e+01,
+3.250173913e+08,-9.196121979e+01,
+3.250260870e+08,-9.333580780e+01,
+3.250347826e+08,-9.251796722e+01,
+3.250434783e+08,-9.283905792e+01,
+3.250521739e+08,-9.292282867e+01,
+3.250608696e+08,-9.210952759e+01,
+3.250695652e+08,-9.218843842e+01,
+3.250782609e+08,-9.259602356e+01,
+3.250869565e+08,-8.450409698e+01,
+3.250956522e+08,-9.312068939e+01,
+3.251043478e+08,-9.322201538e+01,
+3.251130435e+08,-9.216493225e+01,
+3.251217391e+08,-8.209252167e+01,
+3.251304348e+08,-9.057694244e+01,
+3.251391304e+08,-9.309057617e+01,
+3.251478261e+08,-8.761214447e+01,
+3.251565217e+08,-9.349442291e+01,
+3.251652174e+08,-9.417244720e+01,
+3.251739130e+08,-9.348792267e+01,
+3.251826087e+08,-8.713319397e+01,
+3.251913043e+08,-9.168249512e+01,
+3.252000000e+08,-9.134076691e+01,
+3.252086957e+08,-9.158647156e+01,
+3.252173913e+08,-9.287968445e+01,
+3.252260870e+08,-9.270995331e+01,
+3.252347826e+08,-8.736365509e+01,
+3.252434783e+08,-8.656253815e+01,
+3.252521739e+08,-9.188710785e+01,
+3.252608696e+08,-9.243900299e+01,
+3.252695652e+08,-8.437105560e+01,
+3.252782609e+08,-8.991756439e+01,
+3.252869565e+08,-9.280275726e+01,
+3.252956522e+08,-9.297919464e+01,
+3.253043478e+08,-8.772001648e+01,
+3.253130435e+08,-9.212453461e+01,
+3.253217391e+08,-9.242539978e+01,
+3.253304348e+08,-9.247968292e+01,
+3.253391304e+08,-9.035684967e+01,
+3.253478261e+08,-9.178601837e+01,
+3.253565217e+08,-9.370115662e+01,
+3.253652174e+08,-8.955403900e+01,
+3.253739130e+08,-9.296436310e+01,
+3.253826087e+08,-9.249428558e+01,
+3.253913043e+08,-9.283633423e+01,
