#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
08:25:28 04.08.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),22.057938,AUTO
Start Frequency,+3.272750000e+08
Stop Frequency,+3.275250000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+01,MAN
VBW,+1.000000000e+00,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+3.272750000e+08,-1.042889709e+02,
+3.272755435e+08,-1.022069168e+02,
+3.272760870e+08,-1.025156708e+02,
+3.272766304e+08,-1.021286545e+02,
+3.272771739e+08,-1.031718750e+02,
+3.272777174e+08,-1.018934021e+02,
+3.272782609e+08,-1.040786057e+02,
+3.272788043e+08,-1.022274551e+02,
+3.272793478e+08,-1.019215317e+02,
+3.272798913e+08,-1.026446075e+02,
+3.272804348e+08,-1.031228714e+02,
+3.272809783e+08,-1.031462097e+02,
+3.272815217e+08,-1.024164658e+02,
+3.272820652e+08,-1.038431320e+02,
+3.272826087e+08,-1.029345856e+02,
+3.272831522e+08,-1.008103943e+02,
+3.272836957e+08,-1.031975784e+02,
+3.272842391e+08,-1.012438660e+02,
+3.272847826e+08,-1.025776062e+02,
+3.272853261e+08,-1.027832565e+02,
+3.272858696e+08,-1.035706940e+02,
+3.272864130e+08,-1.019193344e+02,
+3.272869565e+08,-1.021767502e+02,
+3.272875000e+08,-1.026181946e+02,
+3.272880435e+08,-1.025606613e+02,
+3.272885870e+08,-1.019709320e+02,
+3.272891304e+08,-9.970095062e+01,
+3.272896739e+08,-1.017345886e+02,
+3.272902174e+08,-1.015575638e+02,
+3.272907609e+08,-1.030387726e+02,
+3.272913043e+08,-1.017955093e+02,
+3.272918478e+08,-1.015889511e+02,
+3.272923913e+08,-9.950663757e+01,
+3.272929348e+08,-1.013691635e+02,
+3.272934783e+08,-1.020427170e+02,
+3.272940217e+08,-9.509260559e+01,
+3.272945652e+08,-1.028600464e+02,
+3.272951087e+08,-1.006921158e+02,
+3.272956522e+08,-1.013680420e+02,
+3.272961957e+08,-1.017989349e+02,
+3.272967391e+08,-1.024341736e+02,
+3.272972826e+08,-1.034430618e+02,
+3.272978261e+08,-1.019564438e+02,
+3.272983696e+08,-1.029755630e+02,
+3.272989130e+08,-1.016649628e+02,
+3.272994565e+08,-1.029099808e+02,
+3.273000000e+08,-1.023796463e+02,
+3.273005435e+08,-1.014363632e+02,
+3.273010870e+08,-1.009675980e+02,
+3.273016304e+08,-1.022416687e+02,
+3.273021739e+08,-1.020906448e+02,
+3.273027174e+08,-1.016423492e+02,
+3.273032609e+08,-1.017457047e+02,
+3.273038043e+08,-1.027528839e+02,
+3.273043478e+08,-1.025466843e+02,
+3.273048913e+08,-1.011489944e+02,
+3.273054348e+08,-1.032643890e+02,
+3.273059783e+08,-1.017335358e+02,
+3.273065217e+08,-1.030209274e+02,
+3.273070652e+08,-1.022339325e+02,
+3.273076087e+08,-1.022516022e+02,
+3.273081522e+08,-1.024812698e+02,
+3.273086957e+08,-1.025773697e+02,
+3.273092391e+08,-1.023422775e+02,
+3.273097826e+08,-1.022861633e+02,
+3.273103261e+08,-1.027955933e+02,
+3.273108696e+08,-1.019769821e+02,
+3.273114130e+08,-1.033844147e+02,
