#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
02:46:04 04.19.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-8.215077209e+01,
+3.171739130e+06,-8.327600098e+01,
+5.343478261e+06,-8.261734009e+01,
+7.515217391e+06,-7.993304443e+01,
+9.686956522e+06,-8.166969299e+01,
+1.185869565e+07,-7.592829132e+01,
+1.403043478e+07,-7.709970093e+01,
+1.620217391e+07,-7.892759705e+01,
+1.837391304e+07,-7.515750122e+01,
+2.054565217e+07,-6.412305450e+01,
+2.271739130e+07,-7.788516235e+01,
+2.488913043e+07,-7.594806671e+01,
+2.706086957e+07,-7.390502930e+01,
+2.923260870e+07,-7.679493713e+01,
+3.140434783e+07,-8.421330261e+01,
+3.357608696e+07,-8.203581238e+01,
+3.574782609e+07,-8.225334167e+01,
+3.791956522e+07,-7.830639648e+01,
+4.009130435e+07,-7.907289124e+01,
+4.226304348e+07,-8.181924438e+01,
+4.443478261e+07,-7.807292938e+01,
+4.660652174e+07,-8.102423096e+01,
+4.877826087e+07,-8.370161438e+01,
+5.095000000e+07,-8.368521881e+01,
+5.312173913e+07,-7.723184967e+01,
+5.529347826e+07,-7.900720978e+01,
+5.746521739e+07,-8.146150208e+01,
+5.963695652e+07,-8.027359009e+01,
+6.180869565e+07,-8.266145325e+01,
+6.398043478e+07,-8.764779663e+01,
+6.615217391e+07,-9.227795410e+01,
+6.832391304e+07,-9.447734070e+01,
+7.049565217e+07,-9.678527832e+01,
+7.266739130e+07,-8.516040039e+01,
+7.483913043e+07,-9.382905579e+01,
+7.701086957e+07,-9.095402527e+01,
+7.918260870e+07,-9.550440216e+01,
+8.135434783e+07,-9.072124481e+01,
+8.352608696e+07,-8.449269867e+01,
+8.569782609e+07,-8.921139526e+01,
+8.786956522e+07,-9.002707672e+01,
+9.004130435e+07,-9.050757599e+01,
+9.221304348e+07,-6.637207031e+01,
+9.438478261e+07,-6.782024384e+01,
+9.655652174e+07,-7.374940491e+01,
+9.872826087e+07,-7.911811066e+01,
+1.009000000e+08,-9.283693695e+01,
+1.030717391e+08,-9.111996460e+01,
+1.052434783e+08,-9.310107422e+01,
+1.074152174e+08,-9.459711456e+01,
+1.095869565e+08,-9.472783661e+01,
+1.117586957e+08,-9.357981110e+01,
+1.139304348e+08,-9.773148346e+01,
+1.161021739e+08,-1.044441986e+02,
+1.182739130e+08,-1.029687195e+02,
+1.204456522e+08,-9.337660217e+01,
+1.226173913e+08,-1.013833847e+02,
+1.247891304e+08,-9.805978394e+01,
+1.269608696e+08,-1.031689453e+02,
+1.291326087e+08,-1.026620789e+02,
+1.313043478e+08,-9.913902283e+01,
+1.334760870e+08,-9.192184448e+01,
+1.356478261e+08,-1.016127930e+02,
+1.378195652e+08,-9.854334259e+01,
+1.399913043e+08,-9.209235382e+01,
+1.421630435e+08,-9.498456573e+01,
+1.443347826e+08,-9.042893219e+01,
+1.465065217e+08,-1.000847397e+02,
+1.486782609e+08,-9.455828857e+01,
