#517905Machine Module,N9343C,CN06050901
MCU Version,A.05.08
DSP Version,A.04.00.00 SA
FPGA Version,A.02.80
10:05:59 04.14.2019
GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),36.529171,AUTO
Start Frequency,+1.000000000e+06
Stop Frequency,+1.000000000e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Single
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-2.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+06,-7.830614471e+01,
+3.171739130e+06,-7.817119598e+01,
+5.343478261e+06,-8.482066345e+01,
+7.515217391e+06,-8.275656891e+01,
+9.686956522e+06,-6.773364258e+01,
+1.185869565e+07,-7.766238403e+01,
+1.403043478e+07,-7.405124664e+01,
+1.620217391e+07,-7.267931366e+01,
+1.837391304e+07,-7.236113739e+01,
+2.054565217e+07,-6.706050873e+01,
+2.271739130e+07,-7.154891205e+01,
+2.488913043e+07,-7.252208710e+01,
+2.706086957e+07,-7.259445190e+01,
+2.923260870e+07,-7.739168549e+01,
+3.140434783e+07,-8.292169952e+01,
+3.357608696e+07,-7.784629059e+01,
+3.574782609e+07,-7.961875153e+01,
+3.791956522e+07,-7.820561218e+01,
+4.009130435e+07,-7.539658356e+01,
+4.226304348e+07,-8.204607391e+01,
+4.443478261e+07,-7.859126282e+01,
+4.660652174e+07,-8.070662689e+01,
+4.877826087e+07,-8.649733734e+01,
+5.095000000e+07,-8.146697235e+01,
+5.312173913e+07,-7.760150146e+01,
+5.529347826e+07,-7.846913147e+01,
+5.746521739e+07,-8.067940521e+01,
+5.963695652e+07,-7.635555267e+01,
+6.180869565e+07,-8.477971649e+01,
+6.398043478e+07,-8.778603363e+01,
+6.615217391e+07,-9.138615417e+01,
+6.832391304e+07,-9.392336273e+01,
+7.049565217e+07,-9.678015900e+01,
+7.266739130e+07,-8.738957977e+01,
+7.483913043e+07,-9.821162415e+01,
+7.701086957e+07,-9.304261017e+01,
+7.918260870e+07,-8.688058472e+01,
+8.135434783e+07,-9.430097961e+01,
+8.352608696e+07,-8.786640930e+01,
+8.569782609e+07,-9.362149048e+01,
+8.786956522e+07,-9.605343628e+01,
+9.004130435e+07,-9.646607208e+01,
+9.221304348e+07,-6.313616943e+01,
+9.438478261e+07,-6.773897552e+01,
+9.655652174e+07,-7.150888824e+01,
+9.872826087e+07,-7.500745392e+01,
+1.009000000e+08,-9.177666473e+01,
+1.030717391e+08,-9.572656250e+01,
+1.052434783e+08,-9.472709656e+01,
+1.074152174e+08,-9.365413666e+01,
+1.095869565e+08,-9.331401825e+01,
+1.117586957e+08,-9.434553528e+01,
+1.139304348e+08,-1.002355423e+02,
+1.161021739e+08,-1.021054993e+02,
+1.182739130e+08,-9.674188995e+01,
+1.204456522e+08,-8.933853912e+01,
+1.226173913e+08,-9.187470245e+01,
+1.247891304e+08,-9.681558990e+01,
+1.269608696e+08,-1.027633667e+02,
+1.291326087e+08,-1.023183289e+02,
+1.313043478e+08,-1.001318283e+02,
+1.334760870e+08,-8.171456909e+01,
+1.356478261e+08,-9.555480194e+01,
+1.378195652e+08,-9.012133026e+01,
+1.399913043e+08,-8.864317322e+01,
+1.421630435e+08,-9.407352448e+01,
+1.443347826e+08,-9.015176392e+01,
+1.465065217e+08,-9.744676208e+01,
+1.486782609e+08,-9.456259918e+01,
