+3.272750000e+08,-1.028688202e+02
+3.272755435e+08,-1.028017349e+02
+3.272760870e+08,-1.016297607e+02
+3.272766304e+08,-1.005982361e+02
+3.272771739e+08,-1.020114212e+02
+3.272777174e+08,-1.036991653e+02
+3.272782609e+08,-1.030214386e+02
+3.272788043e+08,-1.032383499e+02
+3.272793478e+08,-1.039207535e+02
+3.272798913e+08,-1.032419510e+02
+3.272804348e+08,-1.043705750e+02
+3.272809783e+08,-1.024453430e+02
+3.272815217e+08,-1.019938431e+02
+3.272820652e+08,-1.033077316e+02
+3.272826087e+08,-1.023552322e+02
+3.272831522e+08,-1.020665359e+02
+3.272836957e+08,-1.034895096e+02
+3.272842391e+08,-1.022151184e+02
+3.272847826e+08,-1.030398560e+02
+3.272853261e+08,-1.026135406e+02
+3.272858696e+08,-1.035161743e+02
+3.272864130e+08,-1.022714844e+02
+3.272869565e+08,-1.030491791e+02
+3.272875000e+08,-1.025063324e+02
+3.272880435e+08,-1.042618103e+02
+3.272885870e+08,-1.009322052e+02
+3.272891304e+08,-1.019515381e+02
+3.272896739e+08,-1.030649719e+02
+3.272902174e+08,-1.027560730e+02
+3.272907609e+08,-1.017709427e+02
+3.272913043e+08,-1.044814072e+02
+3.272918478e+08,-1.027619247e+02
+3.272923913e+08,-1.023204346e+02
+3.272929348e+08,-9.988076782e+01
+3.272934783e+08,-1.020810776e+02
+3.272940217e+08,-9.725276184e+01
+3.272945652e+08,-1.031308136e+02
+3.272951087e+08,-1.037408218e+02
+3.272956522e+08,-1.026731415e+02
+3.272961957e+08,-1.018698044e+02
+3.272967391e+08,-1.032232437e+02
+3.272972826e+08,-1.022481003e+02
+3.272978261e+08,-1.004471207e+02
+3.272983696e+08,-1.029412994e+02
+3.272989130e+08,-1.041590347e+02
+3.272994565e+08,-1.033751907e+02
+3.273000000e+08,-1.017544098e+02
+3.273005435e+08,-1.013550110e+02
+3.273010870e+08,-1.028662109e+02
+3.273016304e+08,-1.046751862e+02
